rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,run_id,condition,recorded_at,id,ip,browser,browser_version,platform,platform_version,user_agent,referer,language,accept_language,success,question_number,block,question_text,valence,slider_start,question_order
2815,<p style='font-size:22px;'>想像力に欠ける</p>,15,html-slider-response,0,2.1.0,17871,1,1,2025-11-27 12:25:01,06b1bb73b1c64053,158.217.104.171,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,1,superiority,想像力に欠ける,negative,50.0,
1187,<p style='font-size:22px;'>厳格</p>,72,html-slider-response,1,2.1.0,3633,1,1,2025-11-27 12:25:05,06b1bb73b1c64053,158.217.104.187,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,2,superiority,厳格,positive,50.0,
3577,<p style='font-size:22px;'>人に好かれる</p>,58,html-slider-response,2,2.1.0,31687,1,1,2025-11-27 12:25:09,06b1bb73b1c64053,158.217.104.72,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,3,superiority,人に好かれる,positive,50.0,
1390,<p style='font-size:22px;'>悲観的</p>,14,html-slider-response,3,2.1.0,47860,1,1,2025-11-27 12:25:13,06b1bb73b1c64053,158.217.104.128,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,4,superiority,悲観的,negative,50.0,
2254,<p style='font-size:22px;'>知的</p>,60,html-slider-response,4,2.1.0,38725,1,1,2025-11-27 12:25:17,06b1bb73b1c64053,158.217.104.218,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,5,superiority,知的,positive,50.0,
3419,<p style='font-size:22px;'>気難しい</p>,22,html-slider-response,5,2.1.0,12545,1,1,2025-11-27 12:25:21,06b1bb73b1c64053,158.217.104.65,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,6,superiority,気難しい,negative,50.0,
2031,<p style='font-size:22px;'>存在感が薄い</p>,49,html-slider-response,6,2.1.0,3468,1,1,2025-11-27 12:25:25,06b1bb73b1c64053,158.217.104.76,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,7,superiority,存在感が薄い,negative,50.0,
911,<p style='font-size:22px;'>親切</p>,79,html-slider-response,7,2.1.0,41335,1,1,2025-11-27 12:25:29,06b1bb73b1c64053,158.217.104.19,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,8,superiority,親切,positive,50.0,
1056,<p style='font-size:22px;'>短気</p>,51,html-slider-response,8,2.1.0,47247,1,1,2025-11-27 12:25:33,06b1bb73b1c64053,158.217.104.52,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,9,superiority,短気,negative,50.0,
1981,<p style='font-size:22px;'>浅薄</p>,12,html-slider-response,9,2.1.0,26762,1,1,2025-11-27 12:25:37,06b1bb73b1c64053,158.217.104.125,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,10,superiority,浅薄,negative,50.0,
3016,<p style='font-size:22px;'>頼りになる</p>,43,html-slider-response,10,2.1.0,19242,1,1,2025-11-27 12:25:41,06b1bb73b1c64053,158.217.104.78,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,11,superiority,頼りになる,positive,50.0,
511,<p style='font-size:22px;'>不正直</p>,41,html-slider-response,11,2.1.0,32579,1,1,2025-11-27 12:25:45,06b1bb73b1c64053,158.217.104.125,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,12,superiority,不正直,negative,50.0,
3197,<p style='font-size:22px;'>不器用</p>,41,html-slider-response,12,2.1.0,34698,1,1,2025-11-27 12:25:49,06b1bb73b1c64053,158.217.104.189,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,13,superiority,不器用,negative,50.0,
1696,<p style='font-size:22px;'>ユーモアがない</p>,6,html-slider-response,13,2.1.0,32340,1,1,2025-11-27 12:25:53,06b1bb73b1c64053,158.217.104.6,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,14,superiority,ユーモアがない,negative,50.0,
1726,<p style='font-size:22px;'>ユーモアがある</p>,69,html-slider-response,14,2.1.0,6249,1,1,2025-11-27 12:25:57,06b1bb73b1c64053,158.217.104.171,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,15,superiority,ユーモアがある,positive,50.0,
2515,<p style='font-size:22px;'>うぬぼれ屋</p>,34,html-slider-response,15,2.1.0,2050,1,1,2025-11-27 12:26:01,06b1bb73b1c64053,158.217.104.151,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,16,superiority,うぬぼれ屋,negative,50.0,
1112,<p style='font-size:22px;'>果敢</p>,76,html-slider-response,16,2.1.0,23822,1,1,2025-11-27 12:26:05,06b1bb73b1c64053,158.217.104.145,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,17,superiority,果敢,positive,50.0,
610,<p style='font-size:22px;'>正直</p>,75,html-slider-response,17,2.1.0,34676,1,1,2025-11-27 12:26:09,06b1bb73b1c64053,158.217.104.202,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,18,superiority,正直,positive,50.0,
1982,<p style='font-size:22px;'>陽気</p>,81,html-slider-response,18,2.1.0,40513,1,1,2025-11-27 12:26:13,06b1bb73b1c64053,158.217.104.89,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,19,superiority,陽気,positive,50.0,
1102,<p style='font-size:22px;'>冴えない</p>,12,html-slider-response,19,2.1.0,15300,1,1,2025-11-27 12:26:17,06b1bb73b1c64053,158.217.104.66,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,20,superiority,冴えない,negative,50.0,
2446,<p style='font-size:22px;'>想像力に富む</p>,70,html-slider-response,20,2.1.0,6767,1,1,2025-11-27 12:26:21,06b1bb73b1c64053,158.217.104.29,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,21,superiority,想像力に富む,positive,50.0,
3644,<p style='font-size:22px;'>内気</p>,58,html-slider-response,21,2.1.0,25901,1,1,2025-11-27 12:26:25,06b1bb73b1c64053,158.217.104.114,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,22,superiority,内気,negative,50.0,
2046,<p style='font-size:22px;'>衝動的</p>,37,html-slider-response,22,2.1.0,41238,1,1,2025-11-27 12:26:29,06b1bb73b1c64053,158.217.104.114,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,23,superiority,衝動的,negative,50.0,
2888,<p style='font-size:22px;'>無責任</p>,34,html-slider-response,23,2.1.0,8306,1,1,2025-11-27 12:26:33,06b1bb73b1c64053,158.217.104.26,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,24,superiority,無責任,negative,50.0,
2364,<p style='font-size:22px;'>器用</p>,59,html-slider-response,24,2.1.0,30623,1,1,2025-11-27 12:26:37,06b1bb73b1c64053,158.217.104.246,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,25,superiority,器用,positive,50.0,
2083,<p style='font-size:22px;'>実務家</p>,57,html-slider-response,25,2.1.0,10946,1,1,2025-11-27 12:26:41,06b1bb73b1c64053,158.217.104.85,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,26,superiority,実務家,positive,50.0,
1597,<p style='font-size:22px;'>従順</p>,66,html-slider-response,26,2.1.0,25882,1,1,2025-11-27 12:26:45,06b1bb73b1c64053,158.217.104.78,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,27,superiority,従順,positive,50.0,
3098,<p style='font-size:22px;'>人望がない</p>,8,html-slider-response,27,2.1.0,19958,1,1,2025-11-27 12:26:49,06b1bb73b1c64053,158.217.104.204,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,28,superiority,人望がない,negative,50.0,
