rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,run_id,condition,recorded_at,id,ip,browser,browser_version,platform,platform_version,user_agent,referer,language,accept_language,success,question_number,block,question_text,valence,slider_start,question_order
604,<p style='font-size:22px;'>実務家</p>,65,html-slider-response,0,2.1.0,34967,1,1,2025-11-27 07:35:01,1d4b14463e1b4294,158.217.104.64,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,1,superiority,実務家,positive,50.0,
867,<p style='font-size:22px;'>冷静</p>,54,html-slider-response,1,2.1.0,1470,1,1,2025-11-27 07:35:05,1d4b14463e1b4294,158.217.104.190,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,2,superiority,冷静,positive,50.0,
2021,<p style='font-size:22px;'>不正直</p>,11,html-slider-response,2,2.1.0,18384,1,1,2025-11-27 07:35:09,1d4b14463e1b4294,158.217.104.12,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,3,superiority,不正直,negative,50.0,
2608,<p style='font-size:22px;'>浪費家</p>,36,html-slider-response,3,2.1.0,7772,1,1,2025-11-27 07:35:13,1d4b14463e1b4294,158.217.104.135,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,4,superiority,浪費家,negative,50.0,
3021,<p style='font-size:22px;'>気難しい</p>,25,html-slider-response,4,2.1.0,25097,1,1,2025-11-27 07:35:17,1d4b14463e1b4294,158.217.104.43,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,5,superiority,気難しい,negative,50.0,
947,<p style='font-size:22px;'>頼りない</p>,26,html-slider-response,5,2.1.0,43205,1,1,2025-11-27 07:35:21,1d4b14463e1b4294,158.217.104.130,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,6,superiority,頼りない,negative,50.0,
3837,<p style='font-size:22px;'>厳格</p>,85,html-slider-response,6,2.1.0,29950,1,1,2025-11-27 07:35:25,1d4b14463e1b4294,158.217.104.68,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,7,superiority,厳格,positive,50.0,
1725,<p style='font-size:22px;'>知性がない</p>,37,html-slider-response,7,2.1.0,46725,1,1,2025-11-27 07:35:29,1d4b14463e1b4294,158.217.104.100,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,8,superiority,知性がない,negative,50.0,
1223,<p style='font-size:22px;'>人に好かれる</p>,81,html-slider-response,8,2.1.0,3317,1,1,2025-11-27 07:35:33,1d4b14463e1b4294,158.217.104.136,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,9,superiority,人に好かれる,positive,50.0,
3766,<p style='font-size:22px;'>頼りになる</p>,46,html-slider-response,9,2.1.0,34100,1,1,2025-11-27 07:35:37,1d4b14463e1b4294,158.217.104.103,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,10,superiority,頼りになる,positive,50.0,
1800,<p style='font-size:22px;'>控え目</p>,43,html-slider-response,10,2.1.0,36735,1,1,2025-11-27 07:35:41,1d4b14463e1b4294,158.217.104.11,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,11,superiority,控え目,positive,50.0,
