rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,run_id,condition,recorded_at,id,ip,browser,browser_version,platform,platform_version,user_agent,referer,language,accept_language,success,question_number,block,question_text,valence,slider_start,question_order
927,<p style='font-size:22px;'>想像力に富む</p>,73,html-slider-response,0,2.1.0,18912,1,1,2025-11-27 07:30:01,2850b85fc02a41f5,158.217.104.246,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,1,superiority,想像力に富む,positive,50.0,
1592,<p style='font-size:22px;'>衝動的</p>,38,html-slider-response,1,2.1.0,46164,1,1,2025-11-27 07:30:05,2850b85fc02a41f5,158.217.104.176,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,2,superiority,衝動的,negative,50.0,
3880,<p style='font-size:22px;'>無責任</p>,13,html-slider-response,2,2.1.0,34079,1,1,2025-11-27 07:30:09,2850b85fc02a41f5,158.217.104.83,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,3,superiority,無責任,negative,50.0,
2177,<p style='font-size:22px;'>慎重</p>,59,html-slider-response,3,2.1.0,32471,1,1,2025-11-27 07:30:13,2850b85fc02a41f5,158.217.104.154,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,4,superiority,慎重,positive,50.0,
2584,<p style='font-size:22px;'>感傷的</p>,39,html-slider-response,4,2.1.0,32549,1,1,2025-11-27 07:30:17,2850b85fc02a41f5,158.217.104.188,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,5,superiority,感傷的,negative,50.0,
2517,<p style='font-size:22px;'>内気</p>,29,html-slider-response,5,2.1.0,45212,1,1,2025-11-27 07:30:21,2850b85fc02a41f5,158.217.104.49,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,6,superiority,内気,negative,50.0,
3991,<p style='font-size:22px;'>大胆</p>,69,html-slider-response,6,2.1.0,1777,1,1,2025-11-27 07:30:25,2850b85fc02a41f5,158.217.104.106,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,7,superiority,大胆,positive,50.0,
2385,<p style='font-size:22px;'>知性がない</p>,0,html-slider-response,7,2.1.0,34854,1,1,2025-11-27 07:30:29,2850b85fc02a41f5,158.217.104.160,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,8,superiority,知性がない,negative,50.0,
3856,<p style='font-size:22px;'>気難しい</p>,12,html-slider-response,8,2.1.0,48381,1,1,2025-11-27 07:30:33,2850b85fc02a41f5,158.217.104.3,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,9,superiority,気難しい,negative,50.0,
3930,<p style='font-size:22px;'>ユーモアがある</p>,74,html-slider-response,9,2.1.0,37255,1,1,2025-11-27 07:30:37,2850b85fc02a41f5,158.217.104.191,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,10,superiority,ユーモアがある,positive,50.0,
