rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,run_id,condition,recorded_at,id,ip,browser,browser_version,platform,platform_version,user_agent,referer,language,accept_language,success,question_number,block,question_text,valence,slider_start,question_order
2793,<p style='font-size:22px;'>自分は取り残されていると感じることがありますか？</p>,2,survey-likert,0,2.1.0,15652,1,1,2025-11-27 08:58:01,2bdb85c58a014177,158.217.104.252,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,1,loneliness,自分は取り残されていると感じることがありますか？,,,
1734,<p style='font-size:22px;'>自分は他の人たちから孤立していると感じることはありますか？</p>,3,survey-likert,1,2.1.0,12243,1,1,2025-11-27 08:58:05,2bdb85c58a014177,158.217.104.123,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,2,loneliness,自分は他の人たちから孤立していると感じることはありますか？,,,
3406,<p style='font-size:22px;'>自分には人との付き合いがないと感じることがありますか？</p>,2,survey-likert,2,2.1.0,42663,1,1,2025-11-27 08:58:09,2bdb85c58a014177,158.217.104.149,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,3,loneliness,自分には人との付き合いがないと感じることがありますか？,,,
1033,<p style='font-size:22px;'>粘り強い</p>,91,html-slider-response,3,2.1.0,23392,1,1,2025-11-27 08:58:13,2bdb85c58a014177,158.217.104.147,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,1,superiority,粘り強い,positive,50.0,
1247,<p style='font-size:22px;'>冴えない</p>,49,html-slider-response,4,2.1.0,20944,1,1,2025-11-27 08:58:17,2bdb85c58a014177,158.217.104.92,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,2,superiority,冴えない,negative,50.0,
721,<p style='font-size:22px;'>社交的</p>,91,html-slider-response,5,2.1.0,24995,1,1,2025-11-27 08:58:21,2bdb85c58a014177,158.217.104.228,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,3,superiority,社交的,positive,50.0,
3325,<p style='font-size:22px;'>控え目</p>,69,html-slider-response,6,2.1.0,23662,1,1,2025-11-27 08:58:25,2bdb85c58a014177,158.217.104.167,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,4,superiority,控え目,positive,50.0,
2854,<p style='font-size:22px;'>知性がない</p>,29,html-slider-response,7,2.1.0,39746,1,1,2025-11-27 08:58:29,2bdb85c58a014177,158.217.104.129,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,5,superiority,知性がない,negative,50.0,
3503,<p style='font-size:22px;'>陽気</p>,90,html-slider-response,8,2.1.0,37382,1,1,2025-11-27 08:58:33,2bdb85c58a014177,158.217.104.122,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,6,superiority,陽気,positive,50.0,
3802,<p style='font-size:22px;'>知的</p>,91,html-slider-response,9,2.1.0,1545,1,1,2025-11-27 08:58:37,2bdb85c58a014177,158.217.104.130,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,7,superiority,知的,positive,50.0,
