rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,run_id,condition,recorded_at,id,ip,browser,browser_version,platform,platform_version,user_agent,referer,language,accept_language,success,question_number,block,question_text,valence,slider_start,question_order
2157,<p style='font-size:22px;'>ユーモアがない</p>,21,html-slider-response,0,2.1.0,20955,1,1,2025-11-27 12:04:01,32b0e03410f347e9,158.217.104.38,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,1,superiority,ユーモアがない,negative,50.0,
3014,<p style='font-size:22px;'>頼りになる</p>,56,html-slider-response,1,2.1.0,24530,1,1,2025-11-27 12:04:05,32b0e03410f347e9,158.217.104.232,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,2,superiority,頼りになる,positive,50.0,
3212,<p style='font-size:22px;'>器用</p>,87,html-slider-response,2,2.1.0,24376,1,1,2025-11-27 12:04:09,32b0e03410f347e9,158.217.104.200,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,3,superiority,器用,positive,50.0,
1316,<p style='font-size:22px;'>冴えない</p>,58,html-slider-response,3,2.1.0,2544,1,1,2025-11-27 12:04:13,32b0e03410f347e9,158.217.104.179,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,4,superiority,冴えない,negative,50.0,
788,<p style='font-size:22px;'>頼りない</p>,14,html-slider-response,4,2.1.0,40420,1,1,2025-11-27 12:04:17,32b0e03410f347e9,158.217.104.82,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,5,superiority,頼りない,negative,50.0,
612,<p style='font-size:22px;'>想像力に富む</p>,60,html-slider-response,5,2.1.0,29715,1,1,2025-11-27 12:04:21,32b0e03410f347e9,158.217.104.246,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,6,superiority,想像力に富む,positive,50.0,
2124,<p style='font-size:22px;'>気難しい</p>,30,html-slider-response,6,2.1.0,18274,1,1,2025-11-27 12:04:25,32b0e03410f347e9,158.217.104.150,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,7,superiority,気難しい,negative,50.0,
2424,<p style='font-size:22px;'>人に好かれる</p>,52,html-slider-response,7,2.1.0,32257,1,1,2025-11-27 12:04:29,32b0e03410f347e9,158.217.104.94,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,8,superiority,人に好かれる,positive,50.0,
873,<p style='font-size:22px;'>存在感が薄い</p>,28,html-slider-response,8,2.1.0,13921,1,1,2025-11-27 12:04:33,32b0e03410f347e9,158.217.104.46,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,9,superiority,存在感が薄い,negative,50.0,
3462,<p style='font-size:22px;'>優柔不断</p>,5,html-slider-response,9,2.1.0,26906,1,1,2025-11-27 12:04:37,32b0e03410f347e9,158.217.104.110,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,10,superiority,優柔不断,negative,50.0,
1868,<p style='font-size:22px;'>真面目</p>,68,html-slider-response,10,2.1.0,11976,1,1,2025-11-27 12:04:41,32b0e03410f347e9,158.217.104.219,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,11,superiority,真面目,positive,50.0,
1483,<p style='font-size:22px;'>大胆</p>,63,html-slider-response,11,2.1.0,23482,1,1,2025-11-27 12:04:45,32b0e03410f347e9,158.217.104.49,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,12,superiority,大胆,positive,50.0,
2051,<p style='font-size:22px;'>うぬぼれ屋</p>,22,html-slider-response,12,2.1.0,39498,1,1,2025-11-27 12:04:49,32b0e03410f347e9,158.217.104.15,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,13,superiority,うぬぼれ屋,negative,50.0,
3842,<p style='font-size:22px;'>間抜け</p>,27,html-slider-response,13,2.1.0,14260,1,1,2025-11-27 12:04:53,32b0e03410f347e9,158.217.104.230,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,14,superiority,間抜け,negative,50.0,
2442,<p style='font-size:22px;'>想像力に欠ける</p>,20,html-slider-response,14,2.1.0,26768,1,1,2025-11-27 12:04:57,32b0e03410f347e9,158.217.104.144,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,15,superiority,想像力に欠ける,negative,50.0,
3847,<p style='font-size:22px;'>実務家</p>,83,html-slider-response,15,2.1.0,28124,1,1,2025-11-27 12:05:01,32b0e03410f347e9,158.217.104.121,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,16,superiority,実務家,positive,50.0,
734,<p style='font-size:22px;'>慎重</p>,95,html-slider-response,16,2.1.0,49255,1,1,2025-11-27 12:05:05,32b0e03410f347e9,158.217.104.109,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,17,superiority,慎重,positive,50.0,
3370,<p style='font-size:22px;'>陰気</p>,28,html-slider-response,17,2.1.0,44544,1,1,2025-11-27 12:05:09,32b0e03410f347e9,158.217.104.3,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,18,superiority,陰気,negative,50.0,
2679,<p style='font-size:22px;'>気まぐれ</p>,48,html-slider-response,18,2.1.0,37411,1,1,2025-11-27 12:05:13,32b0e03410f347e9,158.217.104.91,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,19,superiority,気まぐれ,negative,50.0,
981,<p style='font-size:22px;'>感傷的</p>,36,html-slider-response,19,2.1.0,29472,1,1,2025-11-27 12:05:17,32b0e03410f347e9,158.217.104.175,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,20,superiority,感傷的,negative,50.0,
2895,<p style='font-size:22px;'>内気</p>,10,html-slider-response,20,2.1.0,39853,1,1,2025-11-27 12:05:21,32b0e03410f347e9,158.217.104.28,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,21,superiority,内気,negative,50.0,
1653,<p style='font-size:22px;'>親切</p>,53,html-slider-response,21,2.1.0,23823,1,1,2025-11-27 12:05:25,32b0e03410f347e9,158.217.104.19,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,22,superiority,親切,positive,50.0,
1441,<p style='font-size:22px;'>陽気</p>,91,html-slider-response,22,2.1.0,1006,1,1,2025-11-27 12:05:29,32b0e03410f347e9,158.217.104.30,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,23,superiority,陽気,positive,50.0,
2548,<p style='font-size:22px;'>単純</p>,9,html-slider-response,23,2.1.0,46884,1,1,2025-11-27 12:05:33,32b0e03410f347e9,158.217.104.208,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,24,superiority,単純,negative,50.0,
1746,<p style='font-size:22px;'>支配的</p>,36,html-slider-response,24,2.1.0,29767,1,1,2025-11-27 12:05:37,32b0e03410f347e9,158.217.104.239,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,25,superiority,支配的,negative,50.0,
1561,<p style='font-size:22px;'>衝動的</p>,20,html-slider-response,25,2.1.0,38627,1,1,2025-11-27 12:05:41,32b0e03410f347e9,158.217.104.19,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,26,superiority,衝動的,negative,50.0,
811,<p style='font-size:22px;'>謙虚</p>,52,html-slider-response,26,2.1.0,23799,1,1,2025-11-27 12:05:45,32b0e03410f347e9,158.217.104.147,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,27,superiority,謙虚,positive,50.0,
2881,<p style='font-size:22px;'>知性がない</p>,48,html-slider-response,27,2.1.0,26246,1,1,2025-11-27 12:05:49,32b0e03410f347e9,158.217.104.22,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,28,superiority,知性がない,negative,50.0,
3777,<p style='font-size:22px;'>不正直</p>,14,html-slider-response,28,2.1.0,18860,1,1,2025-11-27 12:05:53,32b0e03410f347e9,158.217.104.154,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,29,superiority,不正直,negative,50.0,
3680,<p style='font-size:22px;'>思いやりがある</p>,67,html-slider-response,29,2.1.0,15562,1,1,2025-11-27 12:05:57,32b0e03410f347e9,158.217.104.110,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,30,superiority,思いやりがある,positive,50.0,
1968,<p style='font-size:22px;'>短気</p>,26,html-slider-response,30,2.1.0,32848,1,1,2025-11-27 12:06:01,32b0e03410f347e9,158.217.104.137,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,31,superiority,短気,negative,50.0,
