rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,run_id,condition,recorded_at,id,ip,browser,browser_version,platform,platform_version,user_agent,referer,language,accept_language,success,question_number,block,question_text,valence,slider_start,question_order
1699,<p style='font-size:22px;'>社交的</p>,76,html-slider-response,0,2.1.0,47990,1,1,2025-11-27 12:39:01,32dc59cf856c44e8,158.217.104.11,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,1,superiority,社交的,positive,50.0,
1925,<p style='font-size:22px;'>想像力に欠ける</p>,13,html-slider-response,1,2.1.0,12119,1,1,2025-11-27 12:39:05,32dc59cf856c44e8,158.217.104.177,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,2,superiority,想像力に欠ける,negative,50.0,
3956,<p style='font-size:22px;'>感傷的</p>,27,html-slider-response,2,2.1.0,25503,1,1,2025-11-27 12:39:09,32dc59cf856c44e8,158.217.104.114,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,3,superiority,感傷的,negative,50.0,
2071,<p style='font-size:22px;'>不器用</p>,34,html-slider-response,3,2.1.0,41971,1,1,2025-11-27 12:39:13,32dc59cf856c44e8,158.217.104.218,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,4,superiority,不器用,negative,50.0,
655,<p style='font-size:22px;'>頼りになる</p>,64,html-slider-response,4,2.1.0,29590,1,1,2025-11-27 12:39:17,32dc59cf856c44e8,158.217.104.204,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,5,superiority,頼りになる,positive,50.0,
3250,<p style='font-size:22px;'>想像力に富む</p>,79,html-slider-response,5,2.1.0,11672,1,1,2025-11-27 12:39:21,32dc59cf856c44e8,158.217.104.138,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,6,superiority,想像力に富む,positive,50.0,
1664,<p style='font-size:22px;'>頼りない</p>,10,html-slider-response,6,2.1.0,14927,1,1,2025-11-27 12:39:25,32dc59cf856c44e8,158.217.104.97,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,7,superiority,頼りない,negative,50.0,
2349,<p style='font-size:22px;'>思いやりがある</p>,57,html-slider-response,7,2.1.0,14569,1,1,2025-11-27 12:39:29,32dc59cf856c44e8,158.217.104.107,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,8,superiority,思いやりがある,positive,50.0,
3000,<p style='font-size:22px;'>従順</p>,80,html-slider-response,8,2.1.0,44055,1,1,2025-11-27 12:39:33,32dc59cf856c44e8,158.217.104.195,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,9,superiority,従順,positive,50.0,
2143,<p style='font-size:22px;'>正直</p>,45,html-slider-response,9,2.1.0,12636,1,1,2025-11-27 12:39:37,32dc59cf856c44e8,158.217.104.193,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,10,superiority,正直,positive,50.0,
