rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,run_id,condition,recorded_at,id,ip,browser,browser_version,platform,platform_version,user_agent,referer,language,accept_language,success,question_number,block,question_text,valence,slider_start,question_order
1281,<p style='font-size:22px;'>ユーモアがない</p>,28,html-slider-response,0,2.1.0,25444,1,1,2025-11-27 12:20:01,3e2c739609784ba6,158.217.104.217,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,1,superiority,ユーモアがない,negative,50.0,
2913,<p style='font-size:22px;'>厳格</p>,89,html-slider-response,1,2.1.0,34665,1,1,2025-11-27 12:20:05,3e2c739609784ba6,158.217.104.226,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,2,superiority,厳格,positive,50.0,
3155,<p style='font-size:22px;'>知的</p>,48,html-slider-response,2,2.1.0,42593,1,1,2025-11-27 12:20:09,3e2c739609784ba6,158.217.104.80,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,3,superiority,知的,positive,50.0,
1612,<p style='font-size:22px;'>冷静</p>,63,html-slider-response,3,2.1.0,22050,1,1,2025-11-27 12:20:13,3e2c739609784ba6,158.217.104.102,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,4,superiority,冷静,positive,50.0,
1451,<p style='font-size:22px;'>人に好かれる</p>,61,html-slider-response,4,2.1.0,5514,1,1,2025-11-27 12:20:17,3e2c739609784ba6,158.217.104.201,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,5,superiority,人に好かれる,positive,50.0,
2746,<p style='font-size:22px;'>想像力に富む</p>,69,html-slider-response,5,2.1.0,47402,1,1,2025-11-27 12:20:21,3e2c739609784ba6,158.217.104.129,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,6,superiority,想像力に富む,positive,50.0,
3265,<p style='font-size:22px;'>謙虚</p>,46,html-slider-response,6,2.1.0,20408,1,1,2025-11-27 12:20:25,3e2c739609784ba6,158.217.104.234,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,7,superiority,謙虚,positive,50.0,
2471,<p style='font-size:22px;'>ユーモアがある</p>,71,html-slider-response,7,2.1.0,9240,1,1,2025-11-27 12:20:29,3e2c739609784ba6,158.217.104.113,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,8,superiority,ユーモアがある,positive,50.0,
2661,<p style='font-size:22px;'>存在感が薄い</p>,25,html-slider-response,8,2.1.0,34935,1,1,2025-11-27 12:20:33,3e2c739609784ba6,158.217.104.160,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,9,superiority,存在感が薄い,negative,50.0,
2661,<p style='font-size:22px;'>知性がない</p>,41,html-slider-response,9,2.1.0,42193,1,1,2025-11-27 12:20:37,3e2c739609784ba6,158.217.104.57,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,10,superiority,知性がない,negative,50.0,
1933,<p style='font-size:22px;'>浪費家</p>,33,html-slider-response,10,2.1.0,20634,1,1,2025-11-27 12:20:41,3e2c739609784ba6,158.217.104.150,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,11,superiority,浪費家,negative,50.0,
3285,<p style='font-size:22px;'>誠実</p>,64,html-slider-response,11,2.1.0,8805,1,1,2025-11-27 12:20:45,3e2c739609784ba6,158.217.104.250,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,12,superiority,誠実,positive,50.0,
1858,<p style='font-size:22px;'>頼りになる</p>,53,html-slider-response,12,2.1.0,24309,1,1,2025-11-27 12:20:49,3e2c739609784ba6,158.217.104.146,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,13,superiority,頼りになる,positive,50.0,
3181,<p style='font-size:22px;'>浅薄</p>,46,html-slider-response,13,2.1.0,29626,1,1,2025-11-27 12:20:53,3e2c739609784ba6,158.217.104.12,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,14,superiority,浅薄,negative,50.0,
824,<p style='font-size:22px;'>真面目</p>,59,html-slider-response,14,2.1.0,21302,1,1,2025-11-27 12:20:57,3e2c739609784ba6,158.217.104.109,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,15,superiority,真面目,positive,50.0,
3671,<p style='font-size:22px;'>視野が広い</p>,96,html-slider-response,15,2.1.0,21108,1,1,2025-11-27 12:21:01,3e2c739609784ba6,158.217.104.106,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,16,superiority,視野が広い,positive,50.0,
3565,<p style='font-size:22px;'>思いやりがある</p>,57,html-slider-response,16,2.1.0,22296,1,1,2025-11-27 12:21:05,3e2c739609784ba6,158.217.104.237,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,17,superiority,思いやりがある,positive,50.0,
3570,<p style='font-size:22px;'>不正直</p>,44,html-slider-response,17,2.1.0,6143,1,1,2025-11-27 12:21:09,3e2c739609784ba6,158.217.104.247,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,18,superiority,不正直,negative,50.0,
1054,<p style='font-size:22px;'>悲観的</p>,41,html-slider-response,18,2.1.0,49902,1,1,2025-11-27 12:21:13,3e2c739609784ba6,158.217.104.138,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,19,superiority,悲観的,negative,50.0,
2458,<p style='font-size:22px;'>無責任</p>,36,html-slider-response,19,2.1.0,24773,1,1,2025-11-27 12:21:17,3e2c739609784ba6,158.217.104.145,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,20,superiority,無責任,negative,50.0,
1648,<p style='font-size:22px;'>内気</p>,31,html-slider-response,20,2.1.0,8361,1,1,2025-11-27 12:21:21,3e2c739609784ba6,158.217.104.151,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,21,superiority,内気,negative,50.0,
1673,<p style='font-size:22px;'>冴えない</p>,18,html-slider-response,21,2.1.0,3266,1,1,2025-11-27 12:21:25,3e2c739609784ba6,158.217.104.227,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,22,superiority,冴えない,negative,50.0,
2055,<p style='font-size:22px;'>頼りない</p>,14,html-slider-response,22,2.1.0,5192,1,1,2025-11-27 12:21:29,3e2c739609784ba6,158.217.104.78,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,23,superiority,頼りない,negative,50.0,
2415,<p style='font-size:22px;'>従順</p>,59,html-slider-response,23,2.1.0,17719,1,1,2025-11-27 12:21:33,3e2c739609784ba6,158.217.104.184,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,24,superiority,従順,positive,50.0,
2211,<p style='font-size:22px;'>単純</p>,56,html-slider-response,24,2.1.0,45586,1,1,2025-11-27 12:21:37,3e2c739609784ba6,158.217.104.199,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,25,superiority,単純,negative,50.0,
614,<p style='font-size:22px;'>優柔不断</p>,30,html-slider-response,25,2.1.0,3759,1,1,2025-11-27 12:21:41,3e2c739609784ba6,158.217.104.20,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,26,superiority,優柔不断,negative,50.0,
3639,<p style='font-size:22px;'>器用</p>,74,html-slider-response,26,2.1.0,28363,1,1,2025-11-27 12:21:45,3e2c739609784ba6,158.217.104.195,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,27,superiority,器用,positive,50.0,
2261,<p style='font-size:22px;'>不器用</p>,39,html-slider-response,27,2.1.0,18379,1,1,2025-11-27 12:21:49,3e2c739609784ba6,158.217.104.249,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,28,superiority,不器用,negative,50.0,
2323,<p style='font-size:22px;'>支配的</p>,33,html-slider-response,28,2.1.0,20721,1,1,2025-11-27 12:21:53,3e2c739609784ba6,158.217.104.1,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,29,superiority,支配的,negative,50.0,
1429,<p style='font-size:22px;'>気まぐれ</p>,7,html-slider-response,29,2.1.0,47235,1,1,2025-11-27 12:21:57,3e2c739609784ba6,158.217.104.214,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,30,superiority,気まぐれ,negative,50.0,
3478,<p style='font-size:22px;'>気難しい</p>,24,html-slider-response,30,2.1.0,9412,1,1,2025-11-27 12:22:01,3e2c739609784ba6,158.217.104.173,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,31,superiority,気難しい,negative,50.0,
1729,<p style='font-size:22px;'>親切</p>,57,html-slider-response,31,2.1.0,39141,1,1,2025-11-27 12:22:05,3e2c739609784ba6,158.217.104.198,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,32,superiority,親切,positive,50.0,
817,<p style='font-size:22px;'>短気</p>,28,html-slider-response,32,2.1.0,1792,1,1,2025-11-27 12:22:09,3e2c739609784ba6,158.217.104.67,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,33,superiority,短気,negative,50.0,
3557,<p style='font-size:22px;'>寛大</p>,52,html-slider-response,33,2.1.0,8683,1,1,2025-11-27 12:22:13,3e2c739609784ba6,158.217.104.182,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,34,superiority,寛大,positive,50.0,
1412,<p style='font-size:22px;'>大胆</p>,87,html-slider-response,34,2.1.0,29564,1,1,2025-11-27 12:22:17,3e2c739609784ba6,158.217.104.28,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,35,superiority,大胆,positive,50.0,
2677,<p style='font-size:22px;'>正直</p>,70,html-slider-response,35,2.1.0,3295,1,1,2025-11-27 12:22:21,3e2c739609784ba6,158.217.104.114,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,36,superiority,正直,positive,50.0,
2849,<p style='font-size:22px;'>粘り強い</p>,59,html-slider-response,36,2.1.0,24329,1,1,2025-11-27 12:22:25,3e2c739609784ba6,158.217.104.146,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,37,superiority,粘り強い,positive,50.0,
3830,<p style='font-size:22px;'>勤勉</p>,85,html-slider-response,37,2.1.0,26439,1,1,2025-11-27 12:22:29,3e2c739609784ba6,158.217.104.118,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,38,superiority,勤勉,positive,50.0,
1766,<p style='font-size:22px;'>果敢</p>,64,html-slider-response,38,2.1.0,16861,1,1,2025-11-27 12:22:33,3e2c739609784ba6,158.217.104.117,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,39,superiority,果敢,positive,50.0,
733,<p style='font-size:22px;'>間抜け</p>,35,html-slider-response,39,2.1.0,22851,1,1,2025-11-27 12:22:37,3e2c739609784ba6,158.217.104.149,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,40,superiority,間抜け,negative,50.0,
732,<p style='font-size:22px;'>控え目</p>,47,html-slider-response,40,2.1.0,12663,1,1,2025-11-27 12:22:41,3e2c739609784ba6,158.217.104.43,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,41,superiority,控え目,positive,50.0,
2565,<p style='font-size:22px;'>軽薄</p>,43,html-slider-response,41,2.1.0,30183,1,1,2025-11-27 12:22:45,3e2c739609784ba6,158.217.104.7,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,42,superiority,軽薄,negative,50.0,
2680,<p style='font-size:22px;'>うぬぼれ屋</p>,18,html-slider-response,42,2.1.0,2242,1,1,2025-11-27 12:22:49,3e2c739609784ba6,158.217.104.30,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,43,superiority,うぬぼれ屋,negative,50.0,
1306,<p style='font-size:22px;'>想像力に欠ける</p>,26,html-slider-response,43,2.1.0,18165,1,1,2025-11-27 12:22:53,3e2c739609784ba6,158.217.104.40,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,44,superiority,想像力に欠ける,negative,50.0,
3208,<p style='font-size:22px;'>人望がない</p>,17,html-slider-response,44,2.1.0,20182,1,1,2025-11-27 12:22:57,3e2c739609784ba6,158.217.104.216,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,45,superiority,人望がない,negative,50.0,
