rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,run_id,condition,recorded_at,id,ip,browser,browser_version,platform,platform_version,user_agent,referer,language,accept_language,success,question_number,block,question_text,valence,slider_start,question_order
3083,<p style='font-size:22px;'>控え目</p>,63,html-slider-response,0,2.1.0,21700,1,1,2025-11-27 09:10:01,3f031ee703da45c5,158.217.104.228,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,1,superiority,控え目,positive,50.0,
3396,<p style='font-size:22px;'>実務家</p>,61,html-slider-response,1,2.1.0,6896,1,1,2025-11-27 09:10:05,3f031ee703da45c5,158.217.104.204,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,2,superiority,実務家,positive,50.0,
1110,<p style='font-size:22px;'>不器用</p>,3,html-slider-response,2,2.1.0,27282,1,1,2025-11-27 09:10:09,3f031ee703da45c5,158.217.104.23,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,3,superiority,不器用,negative,50.0,
2948,<p style='font-size:22px;'>慎重</p>,86,html-slider-response,3,2.1.0,35331,1,1,2025-11-27 09:10:13,3f031ee703da45c5,158.217.104.64,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,4,superiority,慎重,positive,50.0,
846,<p style='font-size:22px;'>人に好かれる</p>,81,html-slider-response,4,2.1.0,22150,1,1,2025-11-27 09:10:17,3f031ee703da45c5,158.217.104.15,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,5,superiority,人に好かれる,positive,50.0,
2729,<p style='font-size:22px;'>大胆</p>,66,html-slider-response,5,2.1.0,45963,1,1,2025-11-27 09:10:21,3f031ee703da45c5,158.217.104.64,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,6,superiority,大胆,positive,50.0,
2155,<p style='font-size:22px;'>知的</p>,75,html-slider-response,6,2.1.0,42728,1,1,2025-11-27 09:10:25,3f031ee703da45c5,158.217.104.72,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,7,superiority,知的,positive,50.0,
2386,<p style='font-size:22px;'>勤勉</p>,68,html-slider-response,7,2.1.0,6398,1,1,2025-11-27 09:10:29,3f031ee703da45c5,158.217.104.105,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,8,superiority,勤勉,positive,50.0,
2282,<p style='font-size:22px;'>想像力に富む</p>,80,html-slider-response,8,2.1.0,33604,1,1,2025-11-27 09:10:33,3f031ee703da45c5,158.217.104.22,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,9,superiority,想像力に富む,positive,50.0,
1215,<p style='font-size:22px;'>従順</p>,100,html-slider-response,9,2.1.0,39684,1,1,2025-11-27 09:10:37,3f031ee703da45c5,158.217.104.62,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,10,superiority,従順,positive,50.0,
