rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,run_id,condition,recorded_at,id,ip,browser,browser_version,platform,platform_version,user_agent,referer,language,accept_language,success,question_number,block,question_text,valence,slider_start,question_order
1256,<p style='font-size:22px;'>短気</p>,29,html-slider-response,0,2.1.0,26022,1,1,2025-11-27 10:12:01,48cc436ead82487f,158.217.104.36,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,1,superiority,短気,negative,50.0,
2910,<p style='font-size:22px;'>寛大</p>,91,html-slider-response,1,2.1.0,17016,1,1,2025-11-27 10:12:05,48cc436ead82487f,158.217.104.189,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,2,superiority,寛大,positive,50.0,
820,<p style='font-size:22px;'>器用</p>,42,html-slider-response,2,2.1.0,27679,1,1,2025-11-27 10:12:09,48cc436ead82487f,158.217.104.124,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,3,superiority,器用,positive,50.0,
3069,<p style='font-size:22px;'>ユーモアがない</p>,28,html-slider-response,3,2.1.0,4492,1,1,2025-11-27 10:12:13,48cc436ead82487f,158.217.104.250,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,4,superiority,ユーモアがない,negative,50.0,
1287,<p style='font-size:22px;'>従順</p>,59,html-slider-response,4,2.1.0,31179,1,1,2025-11-27 10:12:17,48cc436ead82487f,158.217.104.224,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,5,superiority,従順,positive,50.0,
3987,<p style='font-size:22px;'>優柔不断</p>,5,html-slider-response,5,2.1.0,34028,1,1,2025-11-27 10:12:21,48cc436ead82487f,158.217.104.207,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,6,superiority,優柔不断,negative,50.0,
535,<p style='font-size:22px;'>陽気</p>,67,html-slider-response,6,2.1.0,37826,1,1,2025-11-27 10:12:25,48cc436ead82487f,158.217.104.236,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,7,superiority,陽気,positive,50.0,
3539,<p style='font-size:22px;'>衝動的</p>,18,html-slider-response,7,2.1.0,23343,1,1,2025-11-27 10:12:29,48cc436ead82487f,158.217.104.147,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,8,superiority,衝動的,negative,50.0,
2696,<p style='font-size:22px;'>うぬぼれ屋</p>,12,html-slider-response,8,2.1.0,23545,1,1,2025-11-27 10:12:33,48cc436ead82487f,158.217.104.196,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,9,superiority,うぬぼれ屋,negative,50.0,
3441,<p style='font-size:22px;'>大胆</p>,85,html-slider-response,9,2.1.0,32262,1,1,2025-11-27 10:12:37,48cc436ead82487f,158.217.104.85,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,10,superiority,大胆,positive,50.0,
854,<p style='font-size:22px;'>社交的</p>,76,html-slider-response,10,2.1.0,15886,1,1,2025-11-27 10:12:41,48cc436ead82487f,158.217.104.211,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,11,superiority,社交的,positive,50.0,
1873,<p style='font-size:22px;'>存在感が薄い</p>,28,html-slider-response,11,2.1.0,36397,1,1,2025-11-27 10:12:45,48cc436ead82487f,158.217.104.238,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,12,superiority,存在感が薄い,negative,50.0,
1331,<p style='font-size:22px;'>冴えない</p>,51,html-slider-response,12,2.1.0,2712,1,1,2025-11-27 10:12:49,48cc436ead82487f,158.217.104.168,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,13,superiority,冴えない,negative,50.0,
3207,<p style='font-size:22px;'>人に好かれる</p>,81,html-slider-response,13,2.1.0,35749,1,1,2025-11-27 10:12:53,48cc436ead82487f,158.217.104.230,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,14,superiority,人に好かれる,positive,50.0,
3046,<p style='font-size:22px;'>実務家</p>,67,html-slider-response,14,2.1.0,5996,1,1,2025-11-27 10:12:57,48cc436ead82487f,158.217.104.206,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,15,superiority,実務家,positive,50.0,
2584,<p style='font-size:22px;'>無責任</p>,39,html-slider-response,15,2.1.0,36428,1,1,2025-11-27 10:13:01,48cc436ead82487f,158.217.104.7,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,16,superiority,無責任,negative,50.0,
3955,<p style='font-size:22px;'>浅薄</p>,31,html-slider-response,16,2.1.0,2128,1,1,2025-11-27 10:13:05,48cc436ead82487f,158.217.104.247,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,17,superiority,浅薄,negative,50.0,
618,<p style='font-size:22px;'>誠実</p>,60,html-slider-response,17,2.1.0,1558,1,1,2025-11-27 10:13:09,48cc436ead82487f,158.217.104.224,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,18,superiority,誠実,positive,50.0,
3062,<p style='font-size:22px;'>控え目</p>,57,html-slider-response,18,2.1.0,26878,1,1,2025-11-27 10:13:13,48cc436ead82487f,158.217.104.155,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,19,superiority,控え目,positive,50.0,
826,<p style='font-size:22px;'>気難しい</p>,27,html-slider-response,19,2.1.0,36693,1,1,2025-11-27 10:13:17,48cc436ead82487f,158.217.104.167,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,20,superiority,気難しい,negative,50.0,
515,<p style='font-size:22px;'>軽薄</p>,10,html-slider-response,20,2.1.0,39677,1,1,2025-11-27 10:13:21,48cc436ead82487f,158.217.104.80,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,21,superiority,軽薄,negative,50.0,
2346,<p style='font-size:22px;'>知的</p>,49,html-slider-response,21,2.1.0,38597,1,1,2025-11-27 10:13:25,48cc436ead82487f,158.217.104.9,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,22,superiority,知的,positive,50.0,
2376,<p style='font-size:22px;'>冷静</p>,69,html-slider-response,22,2.1.0,17913,1,1,2025-11-27 10:13:29,48cc436ead82487f,158.217.104.130,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,23,superiority,冷静,positive,50.0,
2413,<p style='font-size:22px;'>思いやりがある</p>,100,html-slider-response,23,2.1.0,15247,1,1,2025-11-27 10:13:33,48cc436ead82487f,158.217.104.247,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,24,superiority,思いやりがある,positive,50.0,
2288,<p style='font-size:22px;'>謙虚</p>,82,html-slider-response,24,2.1.0,34632,1,1,2025-11-27 10:13:37,48cc436ead82487f,158.217.104.142,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,25,superiority,謙虚,positive,50.0,
2975,<p style='font-size:22px;'>感傷的</p>,8,html-slider-response,25,2.1.0,11914,1,1,2025-11-27 10:13:41,48cc436ead82487f,158.217.104.84,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,26,superiority,感傷的,negative,50.0,
2552,<p style='font-size:22px;'>勤勉</p>,86,html-slider-response,26,2.1.0,28762,1,1,2025-11-27 10:13:45,48cc436ead82487f,158.217.104.19,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,27,superiority,勤勉,positive,50.0,
3925,<p style='font-size:22px;'>親切</p>,31,html-slider-response,27,2.1.0,11080,1,1,2025-11-27 10:13:49,48cc436ead82487f,158.217.104.13,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,28,superiority,親切,positive,50.0,
3968,<p style='font-size:22px;'>支配的</p>,26,html-slider-response,28,2.1.0,44493,1,1,2025-11-27 10:13:53,48cc436ead82487f,158.217.104.196,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,29,superiority,支配的,negative,50.0,
3713,<p style='font-size:22px;'>知性がない</p>,41,html-slider-response,29,2.1.0,38372,1,1,2025-11-27 10:13:57,48cc436ead82487f,158.217.104.35,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,30,superiority,知性がない,negative,50.0,
2641,<p style='font-size:22px;'>浪費家</p>,42,html-slider-response,30,2.1.0,8245,1,1,2025-11-27 10:14:01,48cc436ead82487f,158.217.104.235,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,31,superiority,浪費家,negative,50.0,
884,<p style='font-size:22px;'>厳格</p>,81,html-slider-response,31,2.1.0,20281,1,1,2025-11-27 10:14:05,48cc436ead82487f,158.217.104.252,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,32,superiority,厳格,positive,50.0,
2464,<p style='font-size:22px;'>慎重</p>,75,html-slider-response,32,2.1.0,9045,1,1,2025-11-27 10:14:09,48cc436ead82487f,158.217.104.183,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,33,superiority,慎重,positive,50.0,
3969,<p style='font-size:22px;'>粘り強い</p>,90,html-slider-response,33,2.1.0,28988,1,1,2025-11-27 10:14:13,48cc436ead82487f,158.217.104.216,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,34,superiority,粘り強い,positive,50.0,
3312,<p style='font-size:22px;'>気まぐれ</p>,37,html-slider-response,34,2.1.0,22402,1,1,2025-11-27 10:14:17,48cc436ead82487f,158.217.104.113,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,35,superiority,気まぐれ,negative,50.0,
1681,<p style='font-size:22px;'>内気</p>,12,html-slider-response,35,2.1.0,34307,1,1,2025-11-27 10:14:21,48cc436ead82487f,158.217.104.72,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,36,superiority,内気,negative,50.0,
2048,<p style='font-size:22px;'>視野が広い</p>,83,html-slider-response,36,2.1.0,31886,1,1,2025-11-27 10:14:25,48cc436ead82487f,158.217.104.159,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,37,superiority,視野が広い,positive,50.0,
1666,<p style='font-size:22px;'>果敢</p>,34,html-slider-response,37,2.1.0,9106,1,1,2025-11-27 10:14:29,48cc436ead82487f,158.217.104.221,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,38,superiority,果敢,positive,50.0,
1374,<p style='font-size:22px;'>正直</p>,63,html-slider-response,38,2.1.0,26965,1,1,2025-11-27 10:14:33,48cc436ead82487f,158.217.104.240,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,39,superiority,正直,positive,50.0,
3420,<p style='font-size:22px;'>頼りない</p>,23,html-slider-response,39,2.1.0,6357,1,1,2025-11-27 10:14:37,48cc436ead82487f,158.217.104.115,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,40,superiority,頼りない,negative,50.0,
1785,<p style='font-size:22px;'>想像力に富む</p>,100,html-slider-response,40,2.1.0,23934,1,1,2025-11-27 10:14:41,48cc436ead82487f,158.217.104.4,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,41,superiority,想像力に富む,positive,50.0,
