rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,run_id,condition,recorded_at,id,ip,browser,browser_version,platform,platform_version,user_agent,referer,language,accept_language,success,question_number,block,question_text,valence,slider_start,question_order
1749,<p style='font-size:22px;'>浪費家</p>,44,html-slider-response,0,2.1.0,10611,1,1,2025-11-27 14:17:01,6590c1e1384e4478,158.217.104.190,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,1,superiority,浪費家,negative,50.0,
1153,<p style='font-size:22px;'>陽気</p>,36,html-slider-response,1,2.1.0,2257,1,1,2025-11-27 14:17:05,6590c1e1384e4478,158.217.104.39,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,2,superiority,陽気,positive,50.0,
3050,<p style='font-size:22px;'>知的</p>,84,html-slider-response,2,2.1.0,23394,1,1,2025-11-27 14:17:09,6590c1e1384e4478,158.217.104.87,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,3,superiority,知的,positive,50.0,
683,<p style='font-size:22px;'>視野が広い</p>,67,html-slider-response,3,2.1.0,4248,1,1,2025-11-27 14:17:13,6590c1e1384e4478,158.217.104.47,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,4,superiority,視野が広い,positive,50.0,
2895,<p style='font-size:22px;'>単純</p>,27,html-slider-response,4,2.1.0,30800,1,1,2025-11-27 14:17:17,6590c1e1384e4478,158.217.104.187,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,5,superiority,単純,negative,50.0,
2689,<p style='font-size:22px;'>頼りない</p>,5,html-slider-response,5,2.1.0,41958,1,1,2025-11-27 14:17:21,6590c1e1384e4478,158.217.104.191,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,6,superiority,頼りない,negative,50.0,
1750,<p style='font-size:22px;'>慎重</p>,63,html-slider-response,6,2.1.0,17328,1,1,2025-11-27 14:17:25,6590c1e1384e4478,158.217.104.168,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,7,superiority,慎重,positive,50.0,
693,<p style='font-size:22px;'>親切</p>,76,html-slider-response,7,2.1.0,47591,1,1,2025-11-27 14:17:29,6590c1e1384e4478,158.217.104.58,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,8,superiority,親切,positive,50.0,
2999,<p style='font-size:22px;'>不正直</p>,14,html-slider-response,8,2.1.0,4109,1,1,2025-11-27 14:17:33,6590c1e1384e4478,158.217.104.172,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,9,superiority,不正直,negative,50.0,
3202,<p style='font-size:22px;'>間抜け</p>,28,html-slider-response,9,2.1.0,41566,1,1,2025-11-27 14:17:37,6590c1e1384e4478,158.217.104.99,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,10,superiority,間抜け,negative,50.0,
836,<p style='font-size:22px;'>ユーモアがある</p>,57,html-slider-response,10,2.1.0,7226,1,1,2025-11-27 14:17:41,6590c1e1384e4478,158.217.104.143,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,11,superiority,ユーモアがある,positive,50.0,
