rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,run_id,condition,recorded_at,id,ip,browser,browser_version,platform,platform_version,user_agent,referer,language,accept_language,success,question_number,block,question_text,valence,slider_start,question_order
907,<p style='font-size:22px;'>厳格</p>,50,html-slider-response,0,2.1.0,19068,1,1,2025-11-27 13:58:01,6d832f775fd74dd6,158.217.104.81,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,1,superiority,厳格,positive,50.0,
2799,<p style='font-size:22px;'>支配的</p>,23,html-slider-response,1,2.1.0,13571,1,1,2025-11-27 13:58:05,6d832f775fd74dd6,158.217.104.105,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,2,superiority,支配的,negative,50.0,
2660,<p style='font-size:22px;'>陰気</p>,21,html-slider-response,2,2.1.0,24396,1,1,2025-11-27 13:58:09,6d832f775fd74dd6,158.217.104.147,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,3,superiority,陰気,negative,50.0,
3533,<p style='font-size:22px;'>粘り強い</p>,51,html-slider-response,3,2.1.0,2701,1,1,2025-11-27 13:58:13,6d832f775fd74dd6,158.217.104.218,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,4,superiority,粘り強い,positive,50.0,
1692,<p style='font-size:22px;'>人に好かれる</p>,77,html-slider-response,4,2.1.0,21408,1,1,2025-11-27 13:58:17,6d832f775fd74dd6,158.217.104.211,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,5,superiority,人に好かれる,positive,50.0,
2037,<p style='font-size:22px;'>短気</p>,12,html-slider-response,5,2.1.0,9324,1,1,2025-11-27 13:58:21,6d832f775fd74dd6,158.217.104.166,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,6,superiority,短気,negative,50.0,
3642,<p style='font-size:22px;'>ユーモアがある</p>,66,html-slider-response,6,2.1.0,7318,1,1,2025-11-27 13:58:25,6d832f775fd74dd6,158.217.104.8,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,7,superiority,ユーモアがある,positive,50.0,
1361,<p style='font-size:22px;'>浪費家</p>,30,html-slider-response,7,2.1.0,36256,1,1,2025-11-27 13:58:29,6d832f775fd74dd6,158.217.104.81,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,8,superiority,浪費家,negative,50.0,
3369,<p style='font-size:22px;'>果敢</p>,71,html-slider-response,8,2.1.0,16624,1,1,2025-11-27 13:58:33,6d832f775fd74dd6,158.217.104.103,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,9,superiority,果敢,positive,50.0,
3800,<p style='font-size:22px;'>頼りになる</p>,45,html-slider-response,9,2.1.0,37186,1,1,2025-11-27 13:58:37,6d832f775fd74dd6,158.217.104.51,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,10,superiority,頼りになる,positive,50.0,
972,<p style='font-size:22px;'>頼りない</p>,24,html-slider-response,10,2.1.0,26208,1,1,2025-11-27 13:58:41,6d832f775fd74dd6,158.217.104.37,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,11,superiority,頼りない,negative,50.0,
2549,<p style='font-size:22px;'>謙虚</p>,62,html-slider-response,11,2.1.0,1796,1,1,2025-11-27 13:58:45,6d832f775fd74dd6,158.217.104.13,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,12,superiority,謙虚,positive,50.0,
1391,<p style='font-size:22px;'>慎重</p>,47,html-slider-response,12,2.1.0,45988,1,1,2025-11-27 13:58:49,6d832f775fd74dd6,158.217.104.35,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,13,superiority,慎重,positive,50.0,
503,<p style='font-size:22px;'>気難しい</p>,44,html-slider-response,13,2.1.0,28639,1,1,2025-11-27 13:58:53,6d832f775fd74dd6,158.217.104.194,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,14,superiority,気難しい,negative,50.0,
1852,<p style='font-size:22px;'>正直</p>,43,html-slider-response,14,2.1.0,34786,1,1,2025-11-27 13:58:57,6d832f775fd74dd6,158.217.104.188,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,15,superiority,正直,positive,50.0,
702,<p style='font-size:22px;'>不器用</p>,29,html-slider-response,15,2.1.0,24539,1,1,2025-11-27 13:59:01,6d832f775fd74dd6,158.217.104.193,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,16,superiority,不器用,negative,50.0,
3028,<p style='font-size:22px;'>衝動的</p>,29,html-slider-response,16,2.1.0,9253,1,1,2025-11-27 13:59:05,6d832f775fd74dd6,158.217.104.195,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,17,superiority,衝動的,negative,50.0,
2855,<p style='font-size:22px;'>単純</p>,31,html-slider-response,17,2.1.0,10144,1,1,2025-11-27 13:59:09,6d832f775fd74dd6,158.217.104.231,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,18,superiority,単純,negative,50.0,
1315,<p style='font-size:22px;'>器用</p>,60,html-slider-response,18,2.1.0,24468,1,1,2025-11-27 13:59:13,6d832f775fd74dd6,158.217.104.112,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,19,superiority,器用,positive,50.0,
1511,<p style='font-size:22px;'>従順</p>,46,html-slider-response,19,2.1.0,17747,1,1,2025-11-27 13:59:17,6d832f775fd74dd6,158.217.104.207,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,20,superiority,従順,positive,50.0,
3178,<p style='font-size:22px;'>社交的</p>,93,html-slider-response,20,2.1.0,13882,1,1,2025-11-27 13:59:21,6d832f775fd74dd6,158.217.104.218,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,21,superiority,社交的,positive,50.0,
