rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,run_id,condition,recorded_at,id,ip,browser,browser_version,platform,platform_version,user_agent,referer,language,accept_language,success,question_number,block,question_text,valence,slider_start,question_order
2216,<p style='font-size:22px;'>無責任</p>,22,html-slider-response,0,2.1.0,28140,1,1,2025-11-27 10:54:01,6dca90b180a842e3,158.217.104.60,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,1,superiority,無責任,negative,50.0,
3169,<p style='font-size:22px;'>気難しい</p>,20,html-slider-response,1,2.1.0,5275,1,1,2025-11-27 10:54:05,6dca90b180a842e3,158.217.104.71,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,2,superiority,気難しい,negative,50.0,
1116,<p style='font-size:22px;'>思いやりがある</p>,70,html-slider-response,2,2.1.0,20603,1,1,2025-11-27 10:54:09,6dca90b180a842e3,158.217.104.92,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,3,superiority,思いやりがある,positive,50.0,
1103,<p style='font-size:22px;'>果敢</p>,74,html-slider-response,3,2.1.0,9338,1,1,2025-11-27 10:54:13,6dca90b180a842e3,158.217.104.21,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,4,superiority,果敢,positive,50.0,
1030,<p style='font-size:22px;'>誠実</p>,71,html-slider-response,4,2.1.0,34461,1,1,2025-11-27 10:54:17,6dca90b180a842e3,158.217.104.253,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,5,superiority,誠実,positive,50.0,
3672,<p style='font-size:22px;'>浪費家</p>,14,html-slider-response,5,2.1.0,22433,1,1,2025-11-27 10:54:21,6dca90b180a842e3,158.217.104.59,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,6,superiority,浪費家,negative,50.0,
847,<p style='font-size:22px;'>感傷的</p>,10,html-slider-response,6,2.1.0,19956,1,1,2025-11-27 10:54:25,6dca90b180a842e3,158.217.104.201,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,7,superiority,感傷的,negative,50.0,
1979,<p style='font-size:22px;'>うぬぼれ屋</p>,53,html-slider-response,7,2.1.0,7401,1,1,2025-11-27 10:54:29,6dca90b180a842e3,158.217.104.52,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,8,superiority,うぬぼれ屋,negative,50.0,
1579,<p style='font-size:22px;'>短気</p>,60,html-slider-response,8,2.1.0,33319,1,1,2025-11-27 10:54:33,6dca90b180a842e3,158.217.104.17,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,9,superiority,短気,negative,50.0,
2367,<p style='font-size:22px;'>頼りになる</p>,95,html-slider-response,9,2.1.0,10873,1,1,2025-11-27 10:54:37,6dca90b180a842e3,158.217.104.154,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,10,superiority,頼りになる,positive,50.0,
