rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,run_id,condition,recorded_at,id,ip,browser,browser_version,platform,platform_version,user_agent,referer,language,accept_language,success,question_number,block,question_text,valence,slider_start,question_order
3403,<p style='font-size:22px;'>自分には人との付き合いがないと感じることがありますか？</p>,3,survey-likert,0,2.1.0,7124,1,1,2025-11-27 14:32:01,7939c70e09354cef,158.217.104.166,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,1,loneliness,自分には人との付き合いがないと感じることがありますか？,,,
2352,<p style='font-size:22px;'>自分は他の人たちから孤立していると感じることはありますか？</p>,3,survey-likert,1,2.1.0,17911,1,1,2025-11-27 14:32:05,7939c70e09354cef,158.217.104.49,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,2,loneliness,自分は他の人たちから孤立していると感じることはありますか？,,,
571,<p style='font-size:22px;'>自分は取り残されていると感じることがありますか？</p>,3,survey-likert,2,2.1.0,2539,1,1,2025-11-27 14:32:09,7939c70e09354cef,158.217.104.29,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,3,loneliness,自分は取り残されていると感じることがありますか？,,,
902,<p style='font-size:22px;'>陽気</p>,38,html-slider-response,3,2.1.0,31790,1,1,2025-11-27 14:32:13,7939c70e09354cef,158.217.104.145,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,1,superiority,陽気,positive,50.0,
1156,<p style='font-size:22px;'>勤勉</p>,53,html-slider-response,4,2.1.0,32930,1,1,2025-11-27 14:32:17,7939c70e09354cef,158.217.104.162,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,2,superiority,勤勉,positive,50.0,
572,<p style='font-size:22px;'>厳格</p>,62,html-slider-response,5,2.1.0,27465,1,1,2025-11-27 14:32:21,7939c70e09354cef,158.217.104.134,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,3,superiority,厳格,positive,50.0,
2148,<p style='font-size:22px;'>浪費家</p>,23,html-slider-response,6,2.1.0,19446,1,1,2025-11-27 14:32:25,7939c70e09354cef,158.217.104.105,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,4,superiority,浪費家,negative,50.0,
3738,<p style='font-size:22px;'>不正直</p>,20,html-slider-response,7,2.1.0,41745,1,1,2025-11-27 14:32:29,7939c70e09354cef,158.217.104.154,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,5,superiority,不正直,negative,50.0,
1815,<p style='font-size:22px;'>想像力に富む</p>,68,html-slider-response,8,2.1.0,16383,1,1,2025-11-27 14:32:33,7939c70e09354cef,158.217.104.19,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,6,superiority,想像力に富む,positive,50.0,
3044,<p style='font-size:22px;'>頼りない</p>,33,html-slider-response,9,2.1.0,28801,1,1,2025-11-27 14:32:37,7939c70e09354cef,158.217.104.26,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,7,superiority,頼りない,negative,50.0,
3898,<p style='font-size:22px;'>間抜け</p>,41,html-slider-response,10,2.1.0,33193,1,1,2025-11-27 14:32:41,7939c70e09354cef,158.217.104.77,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,8,superiority,間抜け,negative,50.0,
1807,<p style='font-size:22px;'>気難しい</p>,11,html-slider-response,11,2.1.0,22797,1,1,2025-11-27 14:32:45,7939c70e09354cef,158.217.104.70,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,9,superiority,気難しい,negative,50.0,
3819,<p style='font-size:22px;'>人望がない</p>,17,html-slider-response,12,2.1.0,34700,1,1,2025-11-27 14:32:49,7939c70e09354cef,158.217.104.230,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,10,superiority,人望がない,negative,50.0,
1972,<p style='font-size:22px;'>知性がない</p>,28,html-slider-response,13,2.1.0,21125,1,1,2025-11-27 14:32:53,7939c70e09354cef,158.217.104.148,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,11,superiority,知性がない,negative,50.0,
770,<p style='font-size:22px;'>思いやりがある</p>,62,html-slider-response,14,2.1.0,15300,1,1,2025-11-27 14:32:57,7939c70e09354cef,158.217.104.72,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,12,superiority,思いやりがある,positive,50.0,
1448,<p style='font-size:22px;'>人に好かれる</p>,56,html-slider-response,15,2.1.0,12584,1,1,2025-11-27 14:33:01,7939c70e09354cef,158.217.104.84,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,13,superiority,人に好かれる,positive,50.0,
1111,<p style='font-size:22px;'>実務家</p>,68,html-slider-response,16,2.1.0,47210,1,1,2025-11-27 14:33:05,7939c70e09354cef,158.217.104.14,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,14,superiority,実務家,positive,50.0,
1428,<p style='font-size:22px;'>単純</p>,48,html-slider-response,17,2.1.0,5108,1,1,2025-11-27 14:33:09,7939c70e09354cef,158.217.104.73,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,15,superiority,単純,negative,50.0,
2856,<p style='font-size:22px;'>親切</p>,83,html-slider-response,18,2.1.0,4157,1,1,2025-11-27 14:33:13,7939c70e09354cef,158.217.104.96,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,16,superiority,親切,positive,50.0,
2910,<p style='font-size:22px;'>知的</p>,76,html-slider-response,19,2.1.0,37693,1,1,2025-11-27 14:33:17,7939c70e09354cef,158.217.104.154,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,17,superiority,知的,positive,50.0,
3715,<p style='font-size:22px;'>衝動的</p>,13,html-slider-response,20,2.1.0,4466,1,1,2025-11-27 14:33:21,7939c70e09354cef,158.217.104.218,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,18,superiority,衝動的,negative,50.0,
2007,<p style='font-size:22px;'>ユーモアがない</p>,27,html-slider-response,21,2.1.0,33168,1,1,2025-11-27 14:33:25,7939c70e09354cef,158.217.104.227,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,19,superiority,ユーモアがない,negative,50.0,
2256,<p style='font-size:22px;'>不器用</p>,28,html-slider-response,22,2.1.0,45172,1,1,2025-11-27 14:33:29,7939c70e09354cef,158.217.104.58,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,20,superiority,不器用,negative,50.0,
3383,<p style='font-size:22px;'>気まぐれ</p>,6,html-slider-response,23,2.1.0,14483,1,1,2025-11-27 14:33:33,7939c70e09354cef,158.217.104.130,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,21,superiority,気まぐれ,negative,50.0,
