rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,run_id,condition,recorded_at,id,ip,browser,browser_version,platform,platform_version,user_agent,referer,language,accept_language,success,question_number,block,question_text,valence,slider_start,question_order
2990,<p style='font-size:22px;'>自分には人との付き合いがないと感じることがありますか？</p>,3,survey-likert,0,2.1.0,32285,1,1,2025-11-27 10:23:01,7a11a359883c4f18,158.217.104.177,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,1,loneliness,自分には人との付き合いがないと感じることがありますか？,,,
3110,<p style='font-size:22px;'>自分は他の人たちから孤立していると感じることはありますか？</p>,1,survey-likert,1,2.1.0,10506,1,1,2025-11-27 10:23:05,7a11a359883c4f18,158.217.104.249,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,2,loneliness,自分は他の人たちから孤立していると感じることはありますか？,,,
2007,<p style='font-size:22px;'>自分は取り残されていると感じることがありますか？</p>,1,survey-likert,2,2.1.0,16726,1,1,2025-11-27 10:23:09,7a11a359883c4f18,158.217.104.189,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,3,loneliness,自分は取り残されていると感じることがありますか？,,,
2882,<p style='font-size:22px;'>控え目</p>,68,html-slider-response,3,2.1.0,10758,1,1,2025-11-27 10:23:13,7a11a359883c4f18,158.217.104.176,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,1,superiority,控え目,positive,50.0,
1554,<p style='font-size:22px;'>気難しい</p>,34,html-slider-response,4,2.1.0,33262,1,1,2025-11-27 10:23:17,7a11a359883c4f18,158.217.104.82,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,2,superiority,気難しい,negative,50.0,
3604,<p style='font-size:22px;'>冴えない</p>,10,html-slider-response,5,2.1.0,11890,1,1,2025-11-27 10:23:21,7a11a359883c4f18,158.217.104.214,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,3,superiority,冴えない,negative,50.0,
3673,<p style='font-size:22px;'>実務家</p>,57,html-slider-response,6,2.1.0,2015,1,1,2025-11-27 10:23:25,7a11a359883c4f18,158.217.104.237,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,4,superiority,実務家,positive,50.0,
3056,<p style='font-size:22px;'>軽薄</p>,20,html-slider-response,7,2.1.0,28457,1,1,2025-11-27 10:23:29,7a11a359883c4f18,158.217.104.198,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,5,superiority,軽薄,negative,50.0,
2844,<p style='font-size:22px;'>厳格</p>,84,html-slider-response,8,2.1.0,35321,1,1,2025-11-27 10:23:33,7a11a359883c4f18,158.217.104.228,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,6,superiority,厳格,positive,50.0,
2483,<p style='font-size:22px;'>頼りになる</p>,60,html-slider-response,9,2.1.0,21931,1,1,2025-11-27 10:23:37,7a11a359883c4f18,158.217.104.194,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,7,superiority,頼りになる,positive,50.0,
3969,<p style='font-size:22px;'>頼りない</p>,31,html-slider-response,10,2.1.0,16541,1,1,2025-11-27 10:23:41,7a11a359883c4f18,158.217.104.220,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,8,superiority,頼りない,negative,50.0,
2339,<p style='font-size:22px;'>衝動的</p>,22,html-slider-response,11,2.1.0,39580,1,1,2025-11-27 10:23:45,7a11a359883c4f18,158.217.104.93,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,9,superiority,衝動的,negative,50.0,
