rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,run_id,condition,recorded_at,id,ip,browser,browser_version,platform,platform_version,user_agent,referer,language,accept_language,success,question_number,block,question_text,valence,slider_start,question_order
3613,<p style='font-size:22px;'>自分には人との付き合いがないと感じることがありますか？</p>,1,survey-likert,0,2.1.0,15040,1,1,2025-11-27 10:05:01,7a623d65b5474d45,158.217.104.5,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,1,loneliness,自分には人との付き合いがないと感じることがありますか？,,,
2675,<p style='font-size:22px;'>自分は他の人たちから孤立していると感じることはありますか？</p>,0,survey-likert,1,2.1.0,42158,1,1,2025-11-27 10:05:05,7a623d65b5474d45,158.217.104.104,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,2,loneliness,自分は他の人たちから孤立していると感じることはありますか？,,,
3128,<p style='font-size:22px;'>自分は取り残されていると感じることがありますか？</p>,3,survey-likert,2,2.1.0,9562,1,1,2025-11-27 10:05:09,7a623d65b5474d45,158.217.104.83,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,3,loneliness,自分は取り残されていると感じることがありますか？,,,
1553,<p style='font-size:22px;'>短気</p>,39,html-slider-response,3,2.1.0,38422,1,1,2025-11-27 10:05:13,7a623d65b5474d45,158.217.104.128,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,1,superiority,短気,negative,50.0,
2879,<p style='font-size:22px;'>内気</p>,23,html-slider-response,4,2.1.0,8554,1,1,2025-11-27 10:05:17,7a623d65b5474d45,158.217.104.19,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,2,superiority,内気,negative,50.0,
3723,<p style='font-size:22px;'>大胆</p>,93,html-slider-response,5,2.1.0,8530,1,1,2025-11-27 10:05:21,7a623d65b5474d45,158.217.104.212,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,3,superiority,大胆,positive,50.0,
1288,<p style='font-size:22px;'>厳格</p>,77,html-slider-response,6,2.1.0,8419,1,1,2025-11-27 10:05:25,7a623d65b5474d45,158.217.104.127,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,4,superiority,厳格,positive,50.0,
2986,<p style='font-size:22px;'>想像力に富む</p>,68,html-slider-response,7,2.1.0,19967,1,1,2025-11-27 10:05:29,7a623d65b5474d45,158.217.104.58,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,5,superiority,想像力に富む,positive,50.0,
3080,<p style='font-size:22px;'>控え目</p>,73,html-slider-response,8,2.1.0,47969,1,1,2025-11-27 10:05:33,7a623d65b5474d45,158.217.104.62,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,6,superiority,控え目,positive,50.0,
1988,<p style='font-size:22px;'>社交的</p>,54,html-slider-response,9,2.1.0,25988,1,1,2025-11-27 10:05:37,7a623d65b5474d45,158.217.104.31,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,7,superiority,社交的,positive,50.0,
