rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,run_id,condition,recorded_at,id,ip,browser,browser_version,platform,platform_version,user_agent,referer,language,accept_language,success,question_number,block,question_text,valence,slider_start,question_order
855,<p style='font-size:22px;'>自分は他の人たちから孤立していると感じることはありますか？</p>,3,survey-likert,0,2.1.0,4667,1,1,2025-11-27 12:05:01,860de0406e1f4d30,158.217.104.229,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,1,loneliness,自分は他の人たちから孤立していると感じることはありますか？,,,
3861,<p style='font-size:22px;'>自分には人との付き合いがないと感じることがありますか？</p>,2,survey-likert,1,2.1.0,37893,1,1,2025-11-27 12:05:05,860de0406e1f4d30,158.217.104.114,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,2,loneliness,自分には人との付き合いがないと感じることがありますか？,,,
1480,<p style='font-size:22px;'>自分は取り残されていると感じることがありますか？</p>,0,survey-likert,2,2.1.0,40555,1,1,2025-11-27 12:05:09,860de0406e1f4d30,158.217.104.176,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,3,loneliness,自分は取り残されていると感じることがありますか？,,,
1261,<p style='font-size:22px;'>謙虚</p>,67,html-slider-response,3,2.1.0,28517,1,1,2025-11-27 12:05:13,860de0406e1f4d30,158.217.104.68,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,1,superiority,謙虚,positive,50.0,
2254,<p style='font-size:22px;'>寛大</p>,66,html-slider-response,4,2.1.0,2628,1,1,2025-11-27 12:05:17,860de0406e1f4d30,158.217.104.146,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,2,superiority,寛大,positive,50.0,
2779,<p style='font-size:22px;'>人望がない</p>,9,html-slider-response,5,2.1.0,26756,1,1,2025-11-27 12:05:21,860de0406e1f4d30,158.217.104.114,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,3,superiority,人望がない,negative,50.0,
1965,<p style='font-size:22px;'>大胆</p>,68,html-slider-response,6,2.1.0,3692,1,1,2025-11-27 12:05:25,860de0406e1f4d30,158.217.104.46,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,4,superiority,大胆,positive,50.0,
1621,<p style='font-size:22px;'>社交的</p>,49,html-slider-response,7,2.1.0,22857,1,1,2025-11-27 12:05:29,860de0406e1f4d30,158.217.104.7,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,5,superiority,社交的,positive,50.0,
3293,<p style='font-size:22px;'>親切</p>,69,html-slider-response,8,2.1.0,23574,1,1,2025-11-27 12:05:33,860de0406e1f4d30,158.217.104.182,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,6,superiority,親切,positive,50.0,
2226,<p style='font-size:22px;'>悲観的</p>,24,html-slider-response,9,2.1.0,39637,1,1,2025-11-27 12:05:37,860de0406e1f4d30,158.217.104.123,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,7,superiority,悲観的,negative,50.0,
