rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,run_id,condition,recorded_at,id,ip,browser,browser_version,platform,platform_version,user_agent,referer,language,accept_language,success,question_number,block,question_text,valence,slider_start,question_order
2070,<p style='font-size:22px;'>自分は取り残されていると感じることがありますか？</p>,3,survey-likert,0,2.1.0,18092,1,1,2025-11-27 07:01:01,8f126b26407843e0,158.217.104.117,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,1,loneliness,自分は取り残されていると感じることがありますか？,,,
1480,<p style='font-size:22px;'>自分には人との付き合いがないと感じることがありますか？</p>,1,survey-likert,1,2.1.0,31799,1,1,2025-11-27 07:01:05,8f126b26407843e0,158.217.104.222,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,2,loneliness,自分には人との付き合いがないと感じることがありますか？,,,
2205,<p style='font-size:22px;'>自分は他の人たちから孤立していると感じることはありますか？</p>,1,survey-likert,2,2.1.0,24601,1,1,2025-11-27 07:01:09,8f126b26407843e0,158.217.104.15,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,3,loneliness,自分は他の人たちから孤立していると感じることはありますか？,,,
1361,<p style='font-size:22px;'>無責任</p>,40,html-slider-response,3,2.1.0,4730,1,1,2025-11-27 07:01:13,8f126b26407843e0,158.217.104.250,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,1,superiority,無責任,negative,50.0,
3460,<p style='font-size:22px;'>控え目</p>,82,html-slider-response,4,2.1.0,15012,1,1,2025-11-27 07:01:17,8f126b26407843e0,158.217.104.25,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,2,superiority,控え目,positive,50.0,
2269,<p style='font-size:22px;'>視野が広い</p>,54,html-slider-response,5,2.1.0,26842,1,1,2025-11-27 07:01:21,8f126b26407843e0,158.217.104.48,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,3,superiority,視野が広い,positive,50.0,
3881,<p style='font-size:22px;'>勤勉</p>,80,html-slider-response,6,2.1.0,23871,1,1,2025-11-27 07:01:25,8f126b26407843e0,158.217.104.172,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,4,superiority,勤勉,positive,50.0,
1549,<p style='font-size:22px;'>思いやりがある</p>,54,html-slider-response,7,2.1.0,40628,1,1,2025-11-27 07:01:29,8f126b26407843e0,158.217.104.159,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,5,superiority,思いやりがある,positive,50.0,
3552,<p style='font-size:22px;'>冴えない</p>,22,html-slider-response,8,2.1.0,12741,1,1,2025-11-27 07:01:33,8f126b26407843e0,158.217.104.8,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,6,superiority,冴えない,negative,50.0,
1803,<p style='font-size:22px;'>謙虚</p>,68,html-slider-response,9,2.1.0,31059,1,1,2025-11-27 07:01:37,8f126b26407843e0,158.217.104.207,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,7,superiority,謙虚,positive,50.0,
