rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,run_id,condition,recorded_at,id,ip,browser,browser_version,platform,platform_version,user_agent,referer,language,accept_language,success,question_number,block,question_text,valence,slider_start,question_order
1052,<p style='font-size:22px;'>誠実</p>,81,html-slider-response,0,2.1.0,20427,1,1,2025-11-27 14:22:01,9afed9561ed34eb5,158.217.104.91,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,1,superiority,誠実,positive,50.0,
1583,<p style='font-size:22px;'>無責任</p>,26,html-slider-response,1,2.1.0,43891,1,1,2025-11-27 14:22:05,9afed9561ed34eb5,158.217.104.64,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,2,superiority,無責任,negative,50.0,
2512,<p style='font-size:22px;'>衝動的</p>,23,html-slider-response,2,2.1.0,14852,1,1,2025-11-27 14:22:09,9afed9561ed34eb5,158.217.104.19,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,3,superiority,衝動的,negative,50.0,
3111,<p style='font-size:22px;'>陰気</p>,15,html-slider-response,3,2.1.0,15902,1,1,2025-11-27 14:22:13,9afed9561ed34eb5,158.217.104.236,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,4,superiority,陰気,negative,50.0,
2407,<p style='font-size:22px;'>冴えない</p>,27,html-slider-response,4,2.1.0,40795,1,1,2025-11-27 14:22:17,9afed9561ed34eb5,158.217.104.89,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,5,superiority,冴えない,negative,50.0,
740,<p style='font-size:22px;'>親切</p>,58,html-slider-response,5,2.1.0,16934,1,1,2025-11-27 14:22:21,9afed9561ed34eb5,158.217.104.126,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,6,superiority,親切,positive,50.0,
505,<p style='font-size:22px;'>冷静</p>,95,html-slider-response,6,2.1.0,47879,1,1,2025-11-27 14:22:25,9afed9561ed34eb5,158.217.104.61,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,7,superiority,冷静,positive,50.0,
3937,<p style='font-size:22px;'>人に好かれる</p>,79,html-slider-response,7,2.1.0,16498,1,1,2025-11-27 14:22:29,9afed9561ed34eb5,158.217.104.156,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,8,superiority,人に好かれる,positive,50.0,
2546,<p style='font-size:22px;'>頼りない</p>,37,html-slider-response,8,2.1.0,26535,1,1,2025-11-27 14:22:33,9afed9561ed34eb5,158.217.104.173,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,9,superiority,頼りない,negative,50.0,
2093,<p style='font-size:22px;'>支配的</p>,26,html-slider-response,9,2.1.0,5376,1,1,2025-11-27 14:22:37,9afed9561ed34eb5,158.217.104.161,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,10,superiority,支配的,negative,50.0,
1624,<p style='font-size:22px;'>果敢</p>,60,html-slider-response,10,2.1.0,40030,1,1,2025-11-27 14:22:41,9afed9561ed34eb5,158.217.104.20,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,11,superiority,果敢,positive,50.0,
2831,<p style='font-size:22px;'>謙虚</p>,81,html-slider-response,11,2.1.0,49025,1,1,2025-11-27 14:22:45,9afed9561ed34eb5,158.217.104.39,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,12,superiority,謙虚,positive,50.0,
818,<p style='font-size:22px;'>単純</p>,29,html-slider-response,12,2.1.0,21889,1,1,2025-11-27 14:22:49,9afed9561ed34eb5,158.217.104.195,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,13,superiority,単純,negative,50.0,
3508,<p style='font-size:22px;'>うぬぼれ屋</p>,32,html-slider-response,13,2.1.0,30316,1,1,2025-11-27 14:22:53,9afed9561ed34eb5,158.217.104.37,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,14,superiority,うぬぼれ屋,negative,50.0,
2387,<p style='font-size:22px;'>従順</p>,46,html-slider-response,14,2.1.0,35463,1,1,2025-11-27 14:22:57,9afed9561ed34eb5,158.217.104.243,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,15,superiority,従順,positive,50.0,
2293,<p style='font-size:22px;'>視野が広い</p>,66,html-slider-response,15,2.1.0,17945,1,1,2025-11-27 14:23:01,9afed9561ed34eb5,158.217.104.31,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,16,superiority,視野が広い,positive,50.0,
512,<p style='font-size:22px;'>間抜け</p>,0,html-slider-response,16,2.1.0,27979,1,1,2025-11-27 14:23:05,9afed9561ed34eb5,158.217.104.30,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,17,superiority,間抜け,negative,50.0,
1482,<p style='font-size:22px;'>思いやりがある</p>,72,html-slider-response,17,2.1.0,44799,1,1,2025-11-27 14:23:09,9afed9561ed34eb5,158.217.104.159,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,18,superiority,思いやりがある,positive,50.0,
941,<p style='font-size:22px;'>真面目</p>,85,html-slider-response,18,2.1.0,13559,1,1,2025-11-27 14:23:13,9afed9561ed34eb5,158.217.104.30,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,19,superiority,真面目,positive,50.0,
1627,<p style='font-size:22px;'>社交的</p>,57,html-slider-response,19,2.1.0,16999,1,1,2025-11-27 14:23:17,9afed9561ed34eb5,158.217.104.238,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,20,superiority,社交的,positive,50.0,
1532,<p style='font-size:22px;'>感傷的</p>,28,html-slider-response,20,2.1.0,25463,1,1,2025-11-27 14:23:21,9afed9561ed34eb5,158.217.104.138,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,21,superiority,感傷的,negative,50.0,
3463,<p style='font-size:22px;'>知的</p>,54,html-slider-response,21,2.1.0,22940,1,1,2025-11-27 14:23:25,9afed9561ed34eb5,158.217.104.245,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,22,superiority,知的,positive,50.0,
561,<p style='font-size:22px;'>粘り強い</p>,64,html-slider-response,22,2.1.0,15382,1,1,2025-11-27 14:23:29,9afed9561ed34eb5,158.217.104.112,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,23,superiority,粘り強い,positive,50.0,
536,<p style='font-size:22px;'>ユーモアがある</p>,67,html-slider-response,23,2.1.0,20392,1,1,2025-11-27 14:23:33,9afed9561ed34eb5,158.217.104.54,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,24,superiority,ユーモアがある,positive,50.0,
3632,<p style='font-size:22px;'>存在感が薄い</p>,38,html-slider-response,24,2.1.0,37172,1,1,2025-11-27 14:23:37,9afed9561ed34eb5,158.217.104.50,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,25,superiority,存在感が薄い,negative,50.0,
2352,<p style='font-size:22px;'>寛大</p>,60,html-slider-response,25,2.1.0,32635,1,1,2025-11-27 14:23:41,9afed9561ed34eb5,158.217.104.179,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,26,superiority,寛大,positive,50.0,
2409,<p style='font-size:22px;'>短気</p>,21,html-slider-response,26,2.1.0,28938,1,1,2025-11-27 14:23:45,9afed9561ed34eb5,158.217.104.89,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,27,superiority,短気,negative,50.0,
1149,<p style='font-size:22px;'>実務家</p>,72,html-slider-response,27,2.1.0,21149,1,1,2025-11-27 14:23:49,9afed9561ed34eb5,158.217.104.221,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,28,superiority,実務家,positive,50.0,
1641,<p style='font-size:22px;'>頼りになる</p>,62,html-slider-response,28,2.1.0,1558,1,1,2025-11-27 14:23:53,9afed9561ed34eb5,158.217.104.131,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,29,superiority,頼りになる,positive,50.0,
1644,<p style='font-size:22px;'>優柔不断</p>,34,html-slider-response,29,2.1.0,1221,1,1,2025-11-27 14:23:57,9afed9561ed34eb5,158.217.104.250,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,30,superiority,優柔不断,negative,50.0,
2354,<p style='font-size:22px;'>勤勉</p>,56,html-slider-response,30,2.1.0,38497,1,1,2025-11-27 14:24:01,9afed9561ed34eb5,158.217.104.30,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,31,superiority,勤勉,positive,50.0,
3963,<p style='font-size:22px;'>大胆</p>,90,html-slider-response,31,2.1.0,17067,1,1,2025-11-27 14:24:05,9afed9561ed34eb5,158.217.104.173,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,32,superiority,大胆,positive,50.0,
3218,<p style='font-size:22px;'>ユーモアがない</p>,74,html-slider-response,32,2.1.0,10022,1,1,2025-11-27 14:24:09,9afed9561ed34eb5,158.217.104.57,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,33,superiority,ユーモアがない,negative,50.0,
3937,<p style='font-size:22px;'>内気</p>,13,html-slider-response,33,2.1.0,27850,1,1,2025-11-27 14:24:13,9afed9561ed34eb5,158.217.104.124,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,34,superiority,内気,negative,50.0,
2604,<p style='font-size:22px;'>慎重</p>,57,html-slider-response,34,2.1.0,33186,1,1,2025-11-27 14:24:17,9afed9561ed34eb5,158.217.104.3,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,35,superiority,慎重,positive,50.0,
3793,<p style='font-size:22px;'>正直</p>,75,html-slider-response,35,2.1.0,37126,1,1,2025-11-27 14:24:21,9afed9561ed34eb5,158.217.104.65,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,36,superiority,正直,positive,50.0,
1320,<p style='font-size:22px;'>軽薄</p>,34,html-slider-response,36,2.1.0,20149,1,1,2025-11-27 14:24:25,9afed9561ed34eb5,158.217.104.236,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,37,superiority,軽薄,negative,50.0,
2180,<p style='font-size:22px;'>不正直</p>,28,html-slider-response,37,2.1.0,3933,1,1,2025-11-27 14:24:29,9afed9561ed34eb5,158.217.104.148,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,38,superiority,不正直,negative,50.0,
1135,<p style='font-size:22px;'>不器用</p>,15,html-slider-response,38,2.1.0,37081,1,1,2025-11-27 14:24:33,9afed9561ed34eb5,158.217.104.116,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,39,superiority,不器用,negative,50.0,
3807,<p style='font-size:22px;'>悲観的</p>,25,html-slider-response,39,2.1.0,1112,1,1,2025-11-27 14:24:37,9afed9561ed34eb5,158.217.104.95,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,40,superiority,悲観的,negative,50.0,
3420,<p style='font-size:22px;'>気まぐれ</p>,21,html-slider-response,40,2.1.0,30035,1,1,2025-11-27 14:24:41,9afed9561ed34eb5,158.217.104.188,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,41,superiority,気まぐれ,negative,50.0,
1490,<p style='font-size:22px;'>知性がない</p>,19,html-slider-response,41,2.1.0,19231,1,1,2025-11-27 14:24:45,9afed9561ed34eb5,158.217.104.45,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,42,superiority,知性がない,negative,50.0,
2799,<p style='font-size:22px;'>器用</p>,89,html-slider-response,42,2.1.0,43256,1,1,2025-11-27 14:24:49,9afed9561ed34eb5,158.217.104.90,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,43,superiority,器用,positive,50.0,
2731,<p style='font-size:22px;'>想像力に富む</p>,90,html-slider-response,43,2.1.0,33765,1,1,2025-11-27 14:24:53,9afed9561ed34eb5,158.217.104.94,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,44,superiority,想像力に富む,positive,50.0,
2399,<p style='font-size:22px;'>想像力に欠ける</p>,29,html-slider-response,44,2.1.0,46525,1,1,2025-11-27 14:24:57,9afed9561ed34eb5,158.217.104.221,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,45,superiority,想像力に欠ける,negative,50.0,
3595,<p style='font-size:22px;'>気難しい</p>,0,html-slider-response,45,2.1.0,10346,1,1,2025-11-27 14:25:01,9afed9561ed34eb5,158.217.104.226,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,46,superiority,気難しい,negative,50.0,
3612,<p style='font-size:22px;'>控え目</p>,60,html-slider-response,46,2.1.0,45296,1,1,2025-11-27 14:25:05,9afed9561ed34eb5,158.217.104.68,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,47,superiority,控え目,positive,50.0,
3563,<p style='font-size:22px;'>浅薄</p>,0,html-slider-response,47,2.1.0,26306,1,1,2025-11-27 14:25:09,9afed9561ed34eb5,158.217.104.93,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,48,superiority,浅薄,negative,50.0,
1480,<p style='font-size:22px;'>陽気</p>,70,html-slider-response,48,2.1.0,44681,1,1,2025-11-27 14:25:13,9afed9561ed34eb5,158.217.104.203,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,49,superiority,陽気,positive,50.0,
1352,<p style='font-size:22px;'>厳格</p>,95,html-slider-response,49,2.1.0,12798,1,1,2025-11-27 14:25:17,9afed9561ed34eb5,158.217.104.24,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,50,superiority,厳格,positive,50.0,
1097,<p style='font-size:22px;'>浪費家</p>,50,html-slider-response,50,2.1.0,12501,1,1,2025-11-27 14:25:21,9afed9561ed34eb5,158.217.104.61,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,51,superiority,浪費家,negative,50.0,
657,<p style='font-size:22px;'>人望がない</p>,7,html-slider-response,51,2.1.0,13716,1,1,2025-11-27 14:25:25,9afed9561ed34eb5,158.217.104.9,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,52,superiority,人望がない,negative,50.0,
3713,<p style='font-size:22px;'>自分は他の人たちから孤立していると感じることはありますか？</p>,1,survey-likert,52,2.1.0,31913,1,1,2025-11-27 14:25:29,9afed9561ed34eb5,158.217.104.122,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,1,loneliness,自分は他の人たちから孤立していると感じることはありますか？,,,
1748,<p style='font-size:22px;'>自分には人との付き合いがないと感じることがありますか？</p>,2,survey-likert,53,2.1.0,6837,1,1,2025-11-27 14:25:33,9afed9561ed34eb5,158.217.104.14,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,2,loneliness,自分には人との付き合いがないと感じることがありますか？,,,
3088,<p style='font-size:22px;'>自分は取り残されていると感じることがありますか？</p>,2,survey-likert,54,2.1.0,16421,1,1,2025-11-27 14:25:37,9afed9561ed34eb5,158.217.104.63,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,3,loneliness,自分は取り残されていると感じることがありますか？,,,
