rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,run_id,condition,recorded_at,id,ip,browser,browser_version,platform,platform_version,user_agent,referer,language,accept_language,success,question_number,block,question_text,valence,slider_start,question_order
2774,<p style='font-size:22px;'>自分は取り残されていると感じることがありますか？</p>,3,survey-likert,0,2.1.0,41126,1,1,2025-11-27 12:58:01,a754cb3ef7f54609,158.217.104.234,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,1,loneliness,自分は取り残されていると感じることがありますか？,,,
3720,<p style='font-size:22px;'>自分には人との付き合いがないと感じることがありますか？</p>,2,survey-likert,1,2.1.0,7006,1,1,2025-11-27 12:58:05,a754cb3ef7f54609,158.217.104.137,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,2,loneliness,自分には人との付き合いがないと感じることがありますか？,,,
692,<p style='font-size:22px;'>自分は他の人たちから孤立していると感じることはありますか？</p>,0,survey-likert,2,2.1.0,9838,1,1,2025-11-27 12:58:09,a754cb3ef7f54609,158.217.104.6,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,3,loneliness,自分は他の人たちから孤立していると感じることはありますか？,,,
1273,<p style='font-size:22px;'>冷静</p>,78,html-slider-response,3,2.1.0,47169,1,1,2025-11-27 12:58:13,a754cb3ef7f54609,158.217.104.193,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,1,superiority,冷静,positive,50.0,
902,<p style='font-size:22px;'>陰気</p>,0,html-slider-response,4,2.1.0,43567,1,1,2025-11-27 12:58:17,a754cb3ef7f54609,158.217.104.139,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,2,superiority,陰気,negative,50.0,
3756,<p style='font-size:22px;'>優柔不断</p>,22,html-slider-response,5,2.1.0,32211,1,1,2025-11-27 12:58:21,a754cb3ef7f54609,158.217.104.229,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,3,superiority,優柔不断,negative,50.0,
916,<p style='font-size:22px;'>従順</p>,65,html-slider-response,6,2.1.0,1087,1,1,2025-11-27 12:58:25,a754cb3ef7f54609,158.217.104.213,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,4,superiority,従順,positive,50.0,
1541,<p style='font-size:22px;'>控え目</p>,81,html-slider-response,7,2.1.0,23460,1,1,2025-11-27 12:58:29,a754cb3ef7f54609,158.217.104.155,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,5,superiority,控え目,positive,50.0,
1997,<p style='font-size:22px;'>真面目</p>,74,html-slider-response,8,2.1.0,43651,1,1,2025-11-27 12:58:33,a754cb3ef7f54609,158.217.104.40,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,6,superiority,真面目,positive,50.0,
3142,<p style='font-size:22px;'>正直</p>,45,html-slider-response,9,2.1.0,4498,1,1,2025-11-27 12:58:37,a754cb3ef7f54609,158.217.104.231,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,7,superiority,正直,positive,50.0,
