rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,run_id,condition,recorded_at,id,ip,browser,browser_version,platform,platform_version,user_agent,referer,language,accept_language,success,question_number,block,question_text,valence,slider_start,question_order
3174,<p style='font-size:22px;'>控え目</p>,80,html-slider-response,0,2.1.0,13799,1,1,2025-11-27 06:20:01,c8fd6ace2ac943de,158.217.104.65,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,1,superiority,控え目,positive,50.0,
668,<p style='font-size:22px;'>軽薄</p>,29,html-slider-response,1,2.1.0,28957,1,1,2025-11-27 06:20:05,c8fd6ace2ac943de,158.217.104.130,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,2,superiority,軽薄,negative,50.0,
756,<p style='font-size:22px;'>知的</p>,50,html-slider-response,2,2.1.0,33283,1,1,2025-11-27 06:20:09,c8fd6ace2ac943de,158.217.104.27,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,3,superiority,知的,positive,50.0,
1132,<p style='font-size:22px;'>人に好かれる</p>,56,html-slider-response,3,2.1.0,30471,1,1,2025-11-27 06:20:13,c8fd6ace2ac943de,158.217.104.37,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,4,superiority,人に好かれる,positive,50.0,
858,<p style='font-size:22px;'>粘り強い</p>,72,html-slider-response,4,2.1.0,30457,1,1,2025-11-27 06:20:17,c8fd6ace2ac943de,158.217.104.44,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,5,superiority,粘り強い,positive,50.0,
1519,<p style='font-size:22px;'>親切</p>,74,html-slider-response,5,2.1.0,19763,1,1,2025-11-27 06:20:21,c8fd6ace2ac943de,158.217.104.66,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,6,superiority,親切,positive,50.0,
1060,<p style='font-size:22px;'>ユーモアがない</p>,32,html-slider-response,6,2.1.0,22982,1,1,2025-11-27 06:20:25,c8fd6ace2ac943de,158.217.104.227,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,7,superiority,ユーモアがない,negative,50.0,
2301,<p style='font-size:22px;'>気難しい</p>,40,html-slider-response,7,2.1.0,2355,1,1,2025-11-27 06:20:29,c8fd6ace2ac943de,158.217.104.232,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,8,superiority,気難しい,negative,50.0,
2019,<p style='font-size:22px;'>間抜け</p>,54,html-slider-response,8,2.1.0,44141,1,1,2025-11-27 06:20:33,c8fd6ace2ac943de,158.217.104.81,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,9,superiority,間抜け,negative,50.0,
519,<p style='font-size:22px;'>冴えない</p>,38,html-slider-response,9,2.1.0,33976,1,1,2025-11-27 06:20:37,c8fd6ace2ac943de,158.217.104.219,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,10,superiority,冴えない,negative,50.0,
2692,<p style='font-size:22px;'>陰気</p>,26,html-slider-response,10,2.1.0,13457,1,1,2025-11-27 06:20:41,c8fd6ace2ac943de,158.217.104.48,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,11,superiority,陰気,negative,50.0,
