rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,run_id,condition,recorded_at,id,ip,browser,browser_version,platform,platform_version,user_agent,referer,language,accept_language,success,question_number,block,question_text,valence,slider_start,question_order
3205,<p style='font-size:22px;'>真面目</p>,51,html-slider-response,0,2.1.0,45482,1,1,2025-11-27 08:14:01,d15c201bb6c74a99,158.217.104.54,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,1,superiority,真面目,positive,50.0,
3878,<p style='font-size:22px;'>器用</p>,86,html-slider-response,1,2.1.0,34425,1,1,2025-11-27 08:14:05,d15c201bb6c74a99,158.217.104.128,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,2,superiority,器用,positive,50.0,
1835,<p style='font-size:22px;'>ユーモアがある</p>,64,html-slider-response,2,2.1.0,33856,1,1,2025-11-27 08:14:09,d15c201bb6c74a99,158.217.104.193,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,3,superiority,ユーモアがある,positive,50.0,
3397,<p style='font-size:22px;'>軽薄</p>,34,html-slider-response,3,2.1.0,9171,1,1,2025-11-27 08:14:13,d15c201bb6c74a99,158.217.104.97,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,4,superiority,軽薄,negative,50.0,
1169,<p style='font-size:22px;'>優柔不断</p>,17,html-slider-response,4,2.1.0,6168,1,1,2025-11-27 08:14:17,d15c201bb6c74a99,158.217.104.173,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,5,superiority,優柔不断,negative,50.0,
2909,<p style='font-size:22px;'>単純</p>,42,html-slider-response,5,2.1.0,8663,1,1,2025-11-27 08:14:21,d15c201bb6c74a99,158.217.104.235,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,6,superiority,単純,negative,50.0,
712,<p style='font-size:22px;'>短気</p>,2,html-slider-response,6,2.1.0,8142,1,1,2025-11-27 08:14:25,d15c201bb6c74a99,158.217.104.143,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,7,superiority,短気,negative,50.0,
1396,<p style='font-size:22px;'>正直</p>,56,html-slider-response,7,2.1.0,48893,1,1,2025-11-27 08:14:29,d15c201bb6c74a99,158.217.104.102,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,8,superiority,正直,positive,50.0,
2425,<p style='font-size:22px;'>陽気</p>,64,html-slider-response,8,2.1.0,12463,1,1,2025-11-27 08:14:33,d15c201bb6c74a99,158.217.104.194,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,9,superiority,陽気,positive,50.0,
1624,<p style='font-size:22px;'>社交的</p>,52,html-slider-response,9,2.1.0,10177,1,1,2025-11-27 08:14:37,d15c201bb6c74a99,158.217.104.6,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,10,superiority,社交的,positive,50.0,
918,<p style='font-size:22px;'>浅薄</p>,38,html-slider-response,10,2.1.0,41716,1,1,2025-11-27 08:14:41,d15c201bb6c74a99,158.217.104.91,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,11,superiority,浅薄,negative,50.0,
1865,<p style='font-size:22px;'>寛大</p>,61,html-slider-response,11,2.1.0,19887,1,1,2025-11-27 08:14:45,d15c201bb6c74a99,158.217.104.135,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,12,superiority,寛大,positive,50.0,
3242,<p style='font-size:22px;'>陰気</p>,48,html-slider-response,12,2.1.0,45016,1,1,2025-11-27 08:14:49,d15c201bb6c74a99,158.217.104.71,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,13,superiority,陰気,negative,50.0,
1490,<p style='font-size:22px;'>内気</p>,13,html-slider-response,13,2.1.0,43083,1,1,2025-11-27 08:14:53,d15c201bb6c74a99,158.217.104.231,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,14,superiority,内気,negative,50.0,
1046,<p style='font-size:22px;'>果敢</p>,49,html-slider-response,14,2.1.0,17208,1,1,2025-11-27 08:14:57,d15c201bb6c74a99,158.217.104.176,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,15,superiority,果敢,positive,50.0,
3080,<p style='font-size:22px;'>不器用</p>,47,html-slider-response,15,2.1.0,16739,1,1,2025-11-27 08:15:01,d15c201bb6c74a99,158.217.104.120,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,16,superiority,不器用,negative,50.0,
3970,<p style='font-size:22px;'>感傷的</p>,26,html-slider-response,16,2.1.0,15867,1,1,2025-11-27 08:15:05,d15c201bb6c74a99,158.217.104.245,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,17,superiority,感傷的,negative,50.0,
1268,<p style='font-size:22px;'>慎重</p>,85,html-slider-response,17,2.1.0,19420,1,1,2025-11-27 08:15:09,d15c201bb6c74a99,158.217.104.193,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,18,superiority,慎重,positive,50.0,
706,<p style='font-size:22px;'>想像力に欠ける</p>,23,html-slider-response,18,2.1.0,23926,1,1,2025-11-27 08:15:13,d15c201bb6c74a99,158.217.104.181,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,19,superiority,想像力に欠ける,negative,50.0,
2018,<p style='font-size:22px;'>衝動的</p>,33,html-slider-response,19,2.1.0,1951,1,1,2025-11-27 08:15:17,d15c201bb6c74a99,158.217.104.166,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,20,superiority,衝動的,negative,50.0,
3992,<p style='font-size:22px;'>人に好かれる</p>,100,html-slider-response,20,2.1.0,4958,1,1,2025-11-27 08:15:21,d15c201bb6c74a99,158.217.104.215,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,21,superiority,人に好かれる,positive,50.0,
3962,<p style='font-size:22px;'>謙虚</p>,69,html-slider-response,21,2.1.0,41919,1,1,2025-11-27 08:15:25,d15c201bb6c74a99,158.217.104.20,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,22,superiority,謙虚,positive,50.0,
3659,<p style='font-size:22px;'>誠実</p>,50,html-slider-response,22,2.1.0,22488,1,1,2025-11-27 08:15:29,d15c201bb6c74a99,158.217.104.18,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,23,superiority,誠実,positive,50.0,
1126,<p style='font-size:22px;'>実務家</p>,82,html-slider-response,23,2.1.0,15797,1,1,2025-11-27 08:15:33,d15c201bb6c74a99,158.217.104.80,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,24,superiority,実務家,positive,50.0,
3787,<p style='font-size:22px;'>視野が広い</p>,63,html-slider-response,24,2.1.0,12819,1,1,2025-11-27 08:15:37,d15c201bb6c74a99,158.217.104.3,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,25,superiority,視野が広い,positive,50.0,
1461,<p style='font-size:22px;'>気まぐれ</p>,48,html-slider-response,25,2.1.0,28843,1,1,2025-11-27 08:15:41,d15c201bb6c74a99,158.217.104.166,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,26,superiority,気まぐれ,negative,50.0,
2062,<p style='font-size:22px;'>無責任</p>,23,html-slider-response,26,2.1.0,42976,1,1,2025-11-27 08:15:45,d15c201bb6c74a99,158.217.104.111,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,27,superiority,無責任,negative,50.0,
2816,<p style='font-size:22px;'>悲観的</p>,41,html-slider-response,27,2.1.0,24911,1,1,2025-11-27 08:15:49,d15c201bb6c74a99,158.217.104.238,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,28,superiority,悲観的,negative,50.0,
1013,<p style='font-size:22px;'>親切</p>,76,html-slider-response,28,2.1.0,49835,1,1,2025-11-27 08:15:53,d15c201bb6c74a99,158.217.104.14,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,29,superiority,親切,positive,50.0,
3459,<p style='font-size:22px;'>気難しい</p>,4,html-slider-response,29,2.1.0,20057,1,1,2025-11-27 08:15:57,d15c201bb6c74a99,158.217.104.46,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,30,superiority,気難しい,negative,50.0,
2182,<p style='font-size:22px;'>従順</p>,51,html-slider-response,30,2.1.0,30854,1,1,2025-11-27 08:16:01,d15c201bb6c74a99,158.217.104.219,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,31,superiority,従順,positive,50.0,
2258,<p style='font-size:22px;'>頼りない</p>,27,html-slider-response,31,2.1.0,26968,1,1,2025-11-27 08:16:05,d15c201bb6c74a99,158.217.104.54,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,32,superiority,頼りない,negative,50.0,
2639,<p style='font-size:22px;'>存在感が薄い</p>,33,html-slider-response,32,2.1.0,47853,1,1,2025-11-27 08:16:09,d15c201bb6c74a99,158.217.104.253,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,33,superiority,存在感が薄い,negative,50.0,
1181,<p style='font-size:22px;'>大胆</p>,61,html-slider-response,33,2.1.0,37077,1,1,2025-11-27 08:16:13,d15c201bb6c74a99,158.217.104.102,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,34,superiority,大胆,positive,50.0,
2759,<p style='font-size:22px;'>冴えない</p>,9,html-slider-response,34,2.1.0,25352,1,1,2025-11-27 08:16:17,d15c201bb6c74a99,158.217.104.109,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,35,superiority,冴えない,negative,50.0,
655,<p style='font-size:22px;'>粘り強い</p>,80,html-slider-response,35,2.1.0,12948,1,1,2025-11-27 08:16:21,d15c201bb6c74a99,158.217.104.203,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,36,superiority,粘り強い,positive,50.0,
2777,<p style='font-size:22px;'>厳格</p>,58,html-slider-response,36,2.1.0,26484,1,1,2025-11-27 08:16:25,d15c201bb6c74a99,158.217.104.213,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,37,superiority,厳格,positive,50.0,
2695,<p style='font-size:22px;'>不正直</p>,1,html-slider-response,37,2.1.0,17205,1,1,2025-11-27 08:16:29,d15c201bb6c74a99,158.217.104.171,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,38,superiority,不正直,negative,50.0,
3197,<p style='font-size:22px;'>冷静</p>,80,html-slider-response,38,2.1.0,17127,1,1,2025-11-27 08:16:33,d15c201bb6c74a99,158.217.104.47,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,39,superiority,冷静,positive,50.0,
3151,<p style='font-size:22px;'>ユーモアがない</p>,3,html-slider-response,39,2.1.0,25646,1,1,2025-11-27 08:16:37,d15c201bb6c74a99,158.217.104.7,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,40,superiority,ユーモアがない,negative,50.0,
2964,<p style='font-size:22px;'>勤勉</p>,77,html-slider-response,40,2.1.0,33772,1,1,2025-11-27 08:16:41,d15c201bb6c74a99,158.217.104.127,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,41,superiority,勤勉,positive,50.0,
2498,<p style='font-size:22px;'>うぬぼれ屋</p>,34,html-slider-response,41,2.1.0,46645,1,1,2025-11-27 08:16:45,d15c201bb6c74a99,158.217.104.164,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,42,superiority,うぬぼれ屋,negative,50.0,
865,<p style='font-size:22px;'>知性がない</p>,33,html-slider-response,42,2.1.0,26727,1,1,2025-11-27 08:16:49,d15c201bb6c74a99,158.217.104.75,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,43,superiority,知性がない,negative,50.0,
