rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,run_id,condition,recorded_at,id,ip,browser,browser_version,platform,platform_version,user_agent,referer,language,accept_language,success,question_number,block,question_text,valence,slider_start,question_order
697,<p style='font-size:22px;'>自分は他の人たちから孤立していると感じることはありますか？</p>,2,survey-likert,0,2.1.0,34481,1,1,2025-11-27 12:43:01,e12e55925f72431a,158.217.104.81,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,1,loneliness,自分は他の人たちから孤立していると感じることはありますか？,,,
1987,<p style='font-size:22px;'>自分は取り残されていると感じることがありますか？</p>,0,survey-likert,1,2.1.0,30235,1,1,2025-11-27 12:43:05,e12e55925f72431a,158.217.104.32,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,2,loneliness,自分は取り残されていると感じることがありますか？,,,
638,<p style='font-size:22px;'>自分には人との付き合いがないと感じることがありますか？</p>,3,survey-likert,2,2.1.0,14429,1,1,2025-11-27 12:43:09,e12e55925f72431a,158.217.104.76,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,3,loneliness,自分には人との付き合いがないと感じることがありますか？,,,
3380,<p style='font-size:22px;'>単純</p>,39,html-slider-response,3,2.1.0,39374,1,1,2025-11-27 12:43:13,e12e55925f72431a,158.217.104.111,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,1,superiority,単純,negative,50.0,
3460,<p style='font-size:22px;'>感傷的</p>,25,html-slider-response,4,2.1.0,19532,1,1,2025-11-27 12:43:17,e12e55925f72431a,158.217.104.144,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,2,superiority,感傷的,negative,50.0,
2686,<p style='font-size:22px;'>浪費家</p>,19,html-slider-response,5,2.1.0,15227,1,1,2025-11-27 12:43:21,e12e55925f72431a,158.217.104.246,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,3,superiority,浪費家,negative,50.0,
2729,<p style='font-size:22px;'>勤勉</p>,50,html-slider-response,6,2.1.0,40825,1,1,2025-11-27 12:43:25,e12e55925f72431a,158.217.104.34,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,4,superiority,勤勉,positive,50.0,
963,<p style='font-size:22px;'>陰気</p>,69,html-slider-response,7,2.1.0,35508,1,1,2025-11-27 12:43:29,e12e55925f72431a,158.217.104.217,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,5,superiority,陰気,negative,50.0,
2880,<p style='font-size:22px;'>陽気</p>,77,html-slider-response,8,2.1.0,29934,1,1,2025-11-27 12:43:33,e12e55925f72431a,158.217.104.51,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,6,superiority,陽気,positive,50.0,
1950,<p style='font-size:22px;'>気難しい</p>,10,html-slider-response,9,2.1.0,2954,1,1,2025-11-27 12:43:37,e12e55925f72431a,158.217.104.245,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,7,superiority,気難しい,negative,50.0,
3133,<p style='font-size:22px;'>内気</p>,24,html-slider-response,10,2.1.0,27431,1,1,2025-11-27 12:43:41,e12e55925f72431a,158.217.104.162,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,8,superiority,内気,negative,50.0,
