rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,run_id,condition,recorded_at,id,ip,browser,browser_version,platform,platform_version,user_agent,referer,language,accept_language,success,question_number,block,question_text,valence,slider_start,question_order
3327,<p style='font-size:22px;'>自分には人との付き合いがないと感じることがありますか？</p>,1,survey-likert,0,2.1.0,15691,1,1,2025-11-27 14:22:01,f642fc7668174a08,158.217.104.15,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,1,loneliness,自分には人との付き合いがないと感じることがありますか？,,,
2258,<p style='font-size:22px;'>自分は他の人たちから孤立していると感じることはありますか？</p>,3,survey-likert,1,2.1.0,5799,1,1,2025-11-27 14:22:05,f642fc7668174a08,158.217.104.76,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,2,loneliness,自分は他の人たちから孤立していると感じることはありますか？,,,
3824,<p style='font-size:22px;'>自分は取り残されていると感じることがありますか？</p>,3,survey-likert,2,2.1.0,9229,1,1,2025-11-27 14:22:09,f642fc7668174a08,158.217.104.39,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,3,loneliness,自分は取り残されていると感じることがありますか？,,,
794,<p style='font-size:22px;'>短気</p>,33,html-slider-response,3,2.1.0,7862,1,1,2025-11-27 14:22:13,f642fc7668174a08,158.217.104.213,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,1,superiority,短気,negative,50.0,
3032,<p style='font-size:22px;'>勤勉</p>,63,html-slider-response,4,2.1.0,42266,1,1,2025-11-27 14:22:17,f642fc7668174a08,158.217.104.168,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,2,superiority,勤勉,positive,50.0,
631,<p style='font-size:22px;'>知性がない</p>,33,html-slider-response,5,2.1.0,36074,1,1,2025-11-27 14:22:21,f642fc7668174a08,158.217.104.125,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,3,superiority,知性がない,negative,50.0,
2211,<p style='font-size:22px;'>浅薄</p>,33,html-slider-response,6,2.1.0,20378,1,1,2025-11-27 14:22:25,f642fc7668174a08,158.217.104.135,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,4,superiority,浅薄,negative,50.0,
1214,<p style='font-size:22px;'>優柔不断</p>,36,html-slider-response,7,2.1.0,18034,1,1,2025-11-27 14:22:29,f642fc7668174a08,158.217.104.233,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,5,superiority,優柔不断,negative,50.0,
3870,<p style='font-size:22px;'>従順</p>,74,html-slider-response,8,2.1.0,39300,1,1,2025-11-27 14:22:33,f642fc7668174a08,158.217.104.157,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,6,superiority,従順,positive,50.0,
3511,<p style='font-size:22px;'>内気</p>,41,html-slider-response,9,2.1.0,12626,1,1,2025-11-27 14:22:37,f642fc7668174a08,158.217.104.169,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,7,superiority,内気,negative,50.0,
