rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,run_id,condition,recorded_at,id,ip,browser,browser_version,platform,platform_version,user_agent,referer,language,accept_language,success,question_number,block,question_text,valence,slider_start,question_order
664,<p style='font-size:22px;'>頼りになる</p>,70,html-slider-response,0,2.1.0,48022,1,1,2025-11-27 11:08:01,fa41063b85fb4669,158.217.104.215,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,1,superiority,頼りになる,positive,50.0,
3076,<p style='font-size:22px;'>陽気</p>,79,html-slider-response,1,2.1.0,18058,1,1,2025-11-27 11:08:05,fa41063b85fb4669,158.217.104.5,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,2,superiority,陽気,positive,50.0,
1825,<p style='font-size:22px;'>うぬぼれ屋</p>,15,html-slider-response,2,2.1.0,3902,1,1,2025-11-27 11:08:09,fa41063b85fb4669,158.217.104.163,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,3,superiority,うぬぼれ屋,negative,50.0,
3851,<p style='font-size:22px;'>実務家</p>,74,html-slider-response,3,2.1.0,25670,1,1,2025-11-27 11:08:13,fa41063b85fb4669,158.217.104.12,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,4,superiority,実務家,positive,50.0,
3273,<p style='font-size:22px;'>気まぐれ</p>,14,html-slider-response,4,2.1.0,13878,1,1,2025-11-27 11:08:17,fa41063b85fb4669,158.217.104.158,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,5,superiority,気まぐれ,negative,50.0,
2643,<p style='font-size:22px;'>内気</p>,27,html-slider-response,5,2.1.0,39391,1,1,2025-11-27 11:08:21,fa41063b85fb4669,158.217.104.108,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,6,superiority,内気,negative,50.0,
3842,<p style='font-size:22px;'>知的</p>,84,html-slider-response,6,2.1.0,17375,1,1,2025-11-27 11:08:25,fa41063b85fb4669,158.217.104.42,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,7,superiority,知的,positive,50.0,
2358,<p style='font-size:22px;'>器用</p>,63,html-slider-response,7,2.1.0,35569,1,1,2025-11-27 11:08:29,fa41063b85fb4669,158.217.104.54,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,8,superiority,器用,positive,50.0,
572,<p style='font-size:22px;'>誠実</p>,61,html-slider-response,8,2.1.0,7879,1,1,2025-11-27 11:08:33,fa41063b85fb4669,158.217.104.81,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,9,superiority,誠実,positive,50.0,
3935,<p style='font-size:22px;'>浅薄</p>,26,html-slider-response,9,2.1.0,6430,1,1,2025-11-27 11:08:37,fa41063b85fb4669,158.217.104.10,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,10,superiority,浅薄,negative,50.0,
2452,<p style='font-size:22px;'>想像力に欠ける</p>,15,html-slider-response,10,2.1.0,49035,1,1,2025-11-27 11:08:41,fa41063b85fb4669,158.217.104.120,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,11,superiority,想像力に欠ける,negative,50.0,
3056,<p style='font-size:22px;'>無責任</p>,34,html-slider-response,11,2.1.0,32647,1,1,2025-11-27 11:08:45,fa41063b85fb4669,158.217.104.122,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,12,superiority,無責任,negative,50.0,
2886,<p style='font-size:22px;'>陰気</p>,25,html-slider-response,12,2.1.0,12523,1,1,2025-11-27 11:08:49,fa41063b85fb4669,158.217.104.166,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,13,superiority,陰気,negative,50.0,
2343,<p style='font-size:22px;'>気難しい</p>,24,html-slider-response,13,2.1.0,20227,1,1,2025-11-27 11:08:53,fa41063b85fb4669,158.217.104.47,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,14,superiority,気難しい,negative,50.0,
2723,<p style='font-size:22px;'>大胆</p>,79,html-slider-response,14,2.1.0,31573,1,1,2025-11-27 11:08:57,fa41063b85fb4669,158.217.104.132,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,15,superiority,大胆,positive,50.0,
3967,<p style='font-size:22px;'>短気</p>,4,html-slider-response,15,2.1.0,42462,1,1,2025-11-27 11:09:01,fa41063b85fb4669,158.217.104.222,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,16,superiority,短気,negative,50.0,
2136,<p style='font-size:22px;'>勤勉</p>,63,html-slider-response,16,2.1.0,32570,1,1,2025-11-27 11:09:05,fa41063b85fb4669,158.217.104.253,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,17,superiority,勤勉,positive,50.0,
1191,<p style='font-size:22px;'>粘り強い</p>,86,html-slider-response,17,2.1.0,33443,1,1,2025-11-27 11:09:09,fa41063b85fb4669,158.217.104.81,Chrome,143.0.0.0,Windows,10,Mozilla/5.0,https://ckfu3zufqx.cognition.run/,ja-JP,"ja-JP,ja;q=0.9,en-US;q=0.6",,18,superiority,粘り強い,positive,50.0,
